Unnamed: 0,DAL,SDG
First Downs,21,27
Rush-Yds-TDs,16-92-0,27-112-0
Cmp-Att-Yd-TD-INT,27-37-246-2-0,35-42-401-3-1
Sacked-Yards,3-19,1-7
Net Pass Yards,227,394
Total Yards,319,506
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,5-33,7-85
Third Down Conv.,3-9,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,25:57,34:03
