Quarter,Time,Tm,Detail,CAR,TAM
1.0,10:57,Buccaneers,Cadillac Williams 20 yard rush (Shane Andrus kick),0,7
2.0,11:48,Panthers,DeAngelo Williams 20 yard rush (John Kasay kick),7,7
3.0,12:07,Panthers,Jeff King 1 yard pass from Jake Delhomme (John Kasay kick),14,7
,2:33,Panthers,Jonathan Stewart 26 yard rush (John Kasay kick),21,7
,2:17,Buccaneers,Sammie Stroughter 97 yard kickoff return (Shane Andrus kick),21,14
4.0,8:33,Buccaneers,Tanard Jackson 26 yard interception return (Shane Andrus kick),21,21
,0:29,Panthers,DeAngelo Williams 1 yard rush (John Kasay kick),28,21
