Unnamed: 0,CAR,TAM
First Downs,22,12
Rush-Yds-TDs,48-267-3,25-124-1
Cmp-Att-Yd-TD-INT,9-17-65-1-2,11-17-147-0-1
Sacked-Yards,1-10,4-26
Net Pass Yards,55,121
Total Yards,322,245
Fumbles-Lost,1-1,5-1
Turnovers,3,2
Penalties-Yards,3-30,5-40
Third Down Conv.,8-14,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,32:21,27:39
