Unnamed: 0,CAR,TAM
First Downs,18,21
Rush-Yds-TDs,26-110-0,20-85-2
Cmp-Att-Yd-TD-INT,29-43-219-2-1,29-39-326-3-0
Sacked-Yards,2-12,1-2
Net Pass Yards,207,324
Total Yards,317,409
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,1-10,2-10
Third Down Conv.,4-14,4-11
Fourth Down Conv.,2-6,1-1
Time of Possession,35:05,24:55
