Quarter,Time,Tm,Detail,CAR,TAM
1.0,7:22,Panthers,Chuba Hubbard 2 yard pass from Sam Darnold (Lirim Hajrullahu kick),7,0
2.0,11:09,Buccaneers,Ryan Succop 39 yard field goal,7,3
,0:15,Buccaneers,Le'Veon Bell 1 yard pass from Tom Brady (Ryan Succop kick),7,10
3.0,11:57,Buccaneers,Ke'Shawn Vaughn 2 yard rush (Ryan Succop kick),7,17
,4:44,Panthers,Lirim Hajrullahu 35 yard field goal,10,17
4.0,14:56,Buccaneers,Mike Evans 3 yard pass from Tom Brady (Ryan Succop kick),10,24
,10:34,Panthers,Robbie Chosen 19 yard pass from Sam Darnold (Lirim Hajrullahu kick),17,24
,7:34,Buccaneers,Mike Evans 20 yard pass from Tom Brady (Ryan Succop kick),17,31
,5:04,Buccaneers,Ryan Succop 40 yard field goal,17,34
,4:07,Buccaneers,Scott Miller 33 yard rush (Ryan Succop kick),17,41
