Unnamed: 0,STL,SFO
First Downs,18,24
Rush-Yds-TDs,8-9-0,35-165-0
Cmp-Att-Yd-TD-INT,26-42-378-1-2,19-29-236-3-1
Sacked-Yards,5-47,1-12
Net Pass Yards,331,224
Total Yards,340,389
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,7-50,7-39
Third Down Conv.,3-9,9-13
Fourth Down Conv.,0-1,0-0
Time of Possession,25:41,34:19
