Quarter,Time,Tm,Detail,STL,SFO
1.0,14:48,49ers,Cedrick Wilson 95 yard kickoff return (Todd Peterson kick),0,7
,10:37,Rams,Jeff Wilkins 39 yard field goal,3,7
,6:20,49ers,Terrell Owens 5 yard pass from Tim Rattay (Todd Peterson kick),3,14
2.0,9:24,49ers,Todd Peterson 44 yard field goal,3,17
,4:15,49ers,Brandon Lloyd 27 yard pass from Tim Rattay (Todd Peterson kick),3,24
3.0,12:54,49ers,Tai Streets 5 yard pass from Tim Rattay (Todd Peterson kick failed),3,30
4.0,13:10,Rams,Torry Holt 41 yard pass from Marc Bulger (Jeff Wilkins kick),10,30
