Unnamed: 0,WAS,SEA
First Downs,24,13
Rush-Yds-TDs,41-187-1,20-139-0
Cmp-Att-Yd-TD-INT,20-33-206-1-0,12-24-103-2-2
Sacked-Yards,2-7,2-14
Net Pass Yards,199,89
Total Yards,386,228
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,2-20,6-51
Third Down Conv.,7-15,3-10
Fourth Down Conv.,1-1,0-0
Time of Possession,38:27,21:33
