Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 66 yards, returned by Ryan Switzer for no gain (tackle by Bruce Carter)",0.000,0.410
1,14:56,1,10,PIT 22,0,0,James Conner left guard for 3 yards (tackle by Jordan Richards and Deadrin Senat),0.410,0.270
1,14:25,2,7,PIT 25,0,0,Ben Roethlisberger pass complete short middle to Jesse James for 6 yards (tackle by Duke Riley and Foyesade Oluokun),0.270,0.370
1,13:49,3,1,PIT 31,0,0,James Conner up the middle for 2 yards (tackle by Jordan Richards and Brooks Reed),0.370,1.140
1,13:06,1,10,PIT 33,0,0,Ben Roethlisberger pass complete short middle to James Conner for 29 yards (tackle by Damontae Kazee),1.140,3.050
1,12:22,,,,,,Timeout #1 by Pittsburgh Steelers,,
1,12:22,1,10,ATL 38,0,0,James Conner right tackle for 30 yards (tackle by Damontae Kazee and De'Vondre Campbell),3.050,5.370
1,11:41,1,8,ATL 8,0,0,James Conner up the middle for 3 yards (tackle by Brooks Reed),5.370,5.150
1,11:00,2,5,ATL 5,0,0,James Conner up the middle for 4 yards (tackle by Jordan Richards),5.150,5.170
1,10:51,3,1,ATL 1,0,6,"James Conner up the middle for 1 yard, touchdown",5.170,7.000
1,10:44,,,ATL 15,0,6,Chris Boswell kicks extra point no good wide right,0.000,-1.000
1,10:44,,,PIT 35,0,6,"Chris Boswell kicks off 65 yards, returned by Marvin Hall for no gain (tackle by Artie Burns and Anthony Chickillo)",0.000,0.480
1,10:39,1,10,ATL 23,0,6,Matt Ryan pass complete short right to Austin Hooper for 4 yards (tackle by Jonathan Bostic),0.480,0.470
1,10:06,2,6,ATL 27,0,6,Matt Ryan pass incomplete short left intended for Ricky Ortiz,0.470,-0.230
1,9:58,3,6,ATL 27,0,6,Matt Ryan pass complete short left to Austin Hooper for 14 yards (tackle by Cameron Sutton),-0.230,1.660
1,9:15,1,10,ATL 41,0,6,Devonta Freeman left guard for 4 yards (tackle by Tyler Matakevich and Artie Burns),1.660,1.660
1,8:42,2,6,ATL 45,0,6,Devonta Freeman left tackle for 4 yards (tackle by T.J. Watt and Mike Hilton),1.660,1.490
1,7:59,3,2,ATL 49,0,6,Matt Ryan pass complete short middle to Calvin Ridley for 9 yards (tackle by Artie Burns),1.490,2.790
1,7:34,1,10,PIT 42,0,6,Devonta Freeman right guard for 3 yards (tackle by Jonathan Bostic and Bud Dupree),2.790,2.650
1,7:02,2,7,PIT 39,0,6,Matt Ryan pass complete short middle to Austin Hooper for 6 yards (tackle by Terrell Edmunds and Jonathan Bostic),2.650,2.740
1,6:17,3,1,PIT 33,0,6,"Mohamed Sanu up the middle for no gain (tackle by Cameron Heyward and Tyson Alualu) Penalty on ATL: Illegal Formation, 5 yards (no play)",2.740,2.080
1,5:58,3,6,PIT 38,0,6,Matt Ryan sacked by L.J. Fort for -7 yards,2.080,0.270
1,5:24,4,13,PIT 45,0,6,"Matthew Bosher punts 39 yards downed by Marvin Hall. Penalty on Roosevelt Nix: Offensive Holding, 3 yards",0.270,0.380
1,5:15,1,10,PIT 3,0,6,James Conner up the middle for 3 yards (tackle by Terrell McClain and Michael Bennett),-0.380,-0.560
1,4:36,2,7,PIT 6,0,6,Ben Roethlisberger pass complete short right to Antonio Brown for 3 yards (tackle by Desmond Trufant),-0.560,-0.720
1,3:48,3,4,PIT 9,0,6,Ben Roethlisberger pass complete short middle to James Conner for 8 yards (tackle by Duke Riley),-0.720,-0.060
1,3:08,1,10,PIT 17,0,6,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,-0.060,-0.580
1,3:08,2,10,PIT 17,0,6,Stevan Ridley right guard for 4 yards (tackle by Desmond Trufant),-0.580,-0.750
1,2:28,3,6,PIT 21,0,6,"Ben Roethlisberger pass incomplete short right intended for Vance McDonald (defended by De'Vondre Campbell). Penalty on Vic Beasley: Defensive Offside, 5 yards (no play)",-0.750,-0.120
1,2:23,3,1,PIT 26,0,6,James Conner left tackle for 16 yards (tackle by De'Vondre Campbell and Takkarist McKinley),-0.120,1.730
1,1:39,1,10,PIT 42,0,6,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,1.730,1.190
1,1:36,2,10,PIT 42,0,6,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,1.190,0.500
1,1:30,3,10,PIT 42,0,6,"Ben Roethlisberger pass incomplete deep left intended for Jesse James (defended by Jordan Richards). Penalty on Duke Riley: Defensive Pass Interference, 38 yards (no play)",0.500,4.240
1,1:23,1,10,ATL 20,0,6,Stevan Ridley right guard for 2 yards (tackle by Brooks Reed and Jordan Richards),4.240,3.960
1,0:47,2,8,ATL 18,0,6,Ben Roethlisberger pass incomplete short right intended for James Washington (defended by Desmond Trufant),3.960,3.220
1,0:43,3,8,ATL 18,0,12,"Ben Roethlisberger pass complete deep middle to JuJu Smith-Schuster for 18 yards, touchdown",3.220,7.000
1,0:37,,,ATL 15,0,13,Chris Boswell kicks extra point good,0.000,0.000
1,0:37,,,PIT 35,0,13,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,0:37,1,10,ATL 25,0,13,Tevin Coleman left tackle for 8 yards (tackle by Tyler Matakevich and Terrell Edmunds),0.610,1.140
Quarter,Time,Down,ToGo,Location,ATL,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,ATL 33,0,13,Tevin Coleman left guard for 4 yards (tackle by Cameron Heyward),1.140,1.400
2,14:22,1,10,ATL 37,0,13,Matt Ryan sacked by T.J. Watt for -4 yards,1.400,0.320
2,13:38,2,14,ATL 33,0,13,Matt Ryan pass complete short right to Mohamed Sanu for 14 yards (tackle by Joe Haden),0.320,2.060
2,12:58,1,10,ATL 47,0,13,Matt Ryan pass incomplete deep right intended for Austin Hooper,2.060,1.520
2,12:52,2,10,ATL 47,0,13,Devonta Freeman right tackle for no gain (tackle by Bud Dupree and Stephon Tuitt),1.520,0.830
2,12:11,3,10,ATL 47,0,13,Matt Ryan pass complete short middle to Austin Hooper for 10 yards (tackle by L.J. Fort and Sean Davis),0.830,2.720
2,11:29,1,10,PIT 43,6,13,"Matt Ryan pass complete short middle to Mohamed Sanu for 43 yards, touchdown",2.720,7.000
2,11:21,,,PIT 15,7,13,Matt Bryant kicks extra point good,0.000,0.000
2,11:21,,,ATL 35,7,13,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
2,11:21,1,10,PIT 25,7,13,Ben Roethlisberger pass incomplete short left intended for Vance McDonald,0.610,0.060
2,11:17,2,10,PIT 25,7,13,Ben Roethlisberger pass complete short middle to Vance McDonald for 6 yards (tackle by Foyesade Oluokun and Bruce Carter),0.060,0.170
2,10:35,3,4,PIT 31,7,13,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown,0.170,-1.310
2,10:31,4,4,PIT 31,7,13,"Jordan Berry punts 51 yards, returned by Justin Hardy for 3 yards (tackle by Brian Allen)",-1.310,-0.340
2,10:19,1,10,ATL 21,7,13,Matt Ryan pass complete short middle to Austin Hooper for 7 yards (tackle by Jonathan Bostic),0.340,0.750
2,9:43,2,3,ATL 28,7,13,Devonta Freeman left guard for 20 yards (tackle by Sean Davis),0.750,2.130
2,8:58,1,10,ATL 48,7,13,Matt Ryan pass incomplete short middle intended for Julio Jones,2.130,1.580
2,8:53,2,10,ATL 48,7,13,Matt Ryan pass incomplete short left intended for Austin Hooper,1.580,0.890
2,8:50,3,10,ATL 48,7,13,"Matt Ryan pass incomplete short middle intended for Julio Jones. Penalty on Bud Dupree: Illegal Use of Hands, 5 yards (no play)",0.890,2.460
2,8:46,1,10,PIT 47,7,13,Tevin Coleman right guard for -1 yards (tackle by Anthony Chickillo),2.460,1.780
2,8:07,2,11,PIT 48,7,13,"Matt Ryan pass complete short right to Tevin Coleman for 7 yards (tackle by Joe Haden). Penalty on T.J. Watt: Roughing the Passer, 15 yards",1.780,3.840
2,7:39,1,10,PIT 26,7,13,Matt Ryan pass complete short right to Austin Hooper for 3 yards (tackle by Tyler Matakevich),3.840,3.700
2,7:01,2,7,PIT 23,7,13,Devonta Freeman up the middle for 2 yards (tackle by Bud Dupree),3.700,3.270
2,6:22,3,5,PIT 21,7,13,Matt Ryan pass complete short middle to Calvin Ridley for 7 yards (tackle by Coty Sensabaugh),3.270,4.650
2,5:55,1,10,PIT 14,7,13,Matt Ryan sacked by T.J. Watt for -9 yards,4.650,2.880
2,5:12,2,19,PIT 23,7,13,Matt Ryan pass incomplete deep left intended for Julio Jones,2.880,2.210
2,5:07,3,19,PIT 23,7,13,Matt Ryan sacked by Cameron Heyward for -6 yards,2.210,1.500
2,5:07,4,25,PIT 29,10,13,Matt Bryant 47 yard field goal good. Penalty on Artie Burns: Defensive Offside (Declined),1.500,3.000
2,4:23,,,ATL 35,10,13,"Matthew Bosher kicks off 65 yards, touchback.",0.000,0.610
2,4:23,1,10,PIT 25,10,13,James Conner right tackle for 7 yards (tackle by Steven Means),0.610,1.010
2,3:46,2,3,PIT 32,10,13,James Conner left guard for 2 yards (tackle by Jordan Richards and Deadrin Senat),1.010,0.560
2,3:00,3,1,PIT 34,10,13,James Conner right guard for no gain (tackle by Brooks Reed and Kemal Ishmael),0.560,-1.110
2,2:21,4,1,PIT 34,10,13,"Jordan Berry punts 55 yards, returned by Justin Hardy for no gain (tackle by Cameron Sutton)",-1.110,0.370
2,2:11,1,10,ATL 11,10,13,Tevin Coleman right guard for -1 yards (tackle by T.J. Watt and Bud Dupree),-0.370,-0.850
2,2:00,2,11,ATL 10,10,13,Matt Ryan pass incomplete deep right intended for Julio Jones,-0.850,-1.540
