Unnamed: 0,ATL,PIT
First Downs,22,22
Rush-Yds-TDs,19-62-1,29-131-2
Cmp-Att-Yd-TD-INT,31-45-305-1-0,19-29-250-3-1
Sacked-Yards,6-43,0-0
Net Pass Yards,262,250
Total Yards,324,381
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,7-75,7-58
Third Down Conv.,6-14,9-12
Fourth Down Conv.,1-3,0-0
Time of Possession,30:52,29:08
