Quarter,Time,Tm,Detail,ATL,PIT
1.0,10:44,Steelers,James Conner 1 yard rush (Chris Boswell kick failed),0,6
,0:37,Steelers,JuJu Smith-Schuster 18 yard pass from Ben Roethlisberger (Chris Boswell kick),0,13
2.0,11:21,Falcons,Mohamed Sanu 43 yard pass from Matt Ryan (Matt Bryant kick),7,13
,4:23,Falcons,Matt Bryant 47 yard field goal,10,13
3.0,3:42,Steelers,Antonio Brown 9 yard pass from Ben Roethlisberger (Chris Boswell kick),10,20
,1:39,Steelers,James Conner 2 yard rush (Chris Boswell kick),10,27
4.0,12:28,Falcons,Ito Smith 2 yard rush (Matt Bryant kick),17,27
,9:41,Steelers,Antonio Brown 47 yard pass from Ben Roethlisberger (Chris Boswell kick),17,34
,3:35,Steelers,L.J. Fort fumble recovery in end zone (Chris Boswell kick),17,41
