Quarter,Time,Down,ToGo,Location,LAC,CIN,Detail,EPB,EPA
1,4:34,1,10,CIN 29,9,0,Joe Burrow pass deep right intended for Ja'Marr Chase is intercepted by Michael Davis at LAC-27 and returned for no gain (tackle by Ja'Marr Chase),,
1,4:29,1,10,LAC 27,9,0,Justin Herbert pass complete deep right to Mike Williams for 47 yards (tackle by Mike Hilton),,
1,3:44,1,10,CIN 26,9,0,Justin Herbert pass complete short right to Donald Parham for 6 yards (tackle by Chidobe Awuzie),,
1,3:08,2,4,CIN 20,9,0,Justin Herbert scrambles up the middle for 6 yards (tackle by Mike Hilton),,
1,2:26,1,10,CIN 14,9,0,Austin Ekeler right guard for 7 yards (tackle by Jessie Bates and Logan Wilson),,
1,1:36,2,3,CIN 7,15,0,"Justin Herbert pass complete short middle to Keenan Allen for 7 yards, touchdown",,
1,1:34,,,CIN 15,16,0,Dustin Hopkins kicks extra point good,,
1,1:34,,,LAC 35,16,0,"Dustin Hopkins kicks off 62 yards, returned by Pooka Williams for 25 yards (tackle by Nick Niemann and Davontae Harris)",,
1,1:26,1,10,CIN 28,16,0,Joe Burrow pass complete short right to C.J. Uzomah for 3 yards (tackle by Kyzir White),,
1,0:52,2,7,CIN 31,16,0,Joe Mixon right guard for 1 yard (tackle by Justin Jones),,
1,0:06,3,6,CIN 32,16,0,"Joe Burrow pass complete short middle to Ja'Marr Chase for no gain (tackle by Drue Tranquill). Penalty on Isaiah Prince: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,LAC,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,16,CIN 22,16,0,Joe Burrow pass incomplete deep left intended for Tee Higgins,,
2,14:55,4,16,CIN 22,16,0,"Kevin Huber punts 50 yards, returned by Andre Roberts for 15 yards (tackle by Tre Flowers). Penalty on Stanley Morgan: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",,
2,14:42,1,10,CIN 42,16,0,Justin Herbert pass incomplete intended for Keenan Allen,,
2,14:38,2,10,CIN 42,16,0,Austin Ekeler left guard for 3 yards (tackle by Josh Tupou and Germaine Pratt),,
2,13:53,3,7,CIN 39,16,0,Justin Herbert pass incomplete deep left intended for Donald Parham (defended by Eli Apple),,
2,13:46,4,7,CIN 39,16,0,"Ty Long punts 39 yards, touchback.",,
2,13:39,1,10,CIN 20,16,0,Joe Mixon left tackle for -5 yards (tackle by Kyzir White),,
2,13:04,2,15,CIN 15,16,0,Joe Burrow pass complete short right to C.J. Uzomah for 7 yards (tackle by Kyzir White),,
2,12:23,3,8,CIN 22,16,0,Joe Burrow sacked by Justin Jones for -7 yards,,
2,11:48,4,15,CIN 15,16,0,"Kevin Huber punts 46 yards, returned by Andre Roberts for 3 yards (tackle by Stanley Morgan and Michael Thomas)",,
2,11:37,1,10,LAC 42,16,0,Austin Ekeler right tackle for 9 yards (tackle by Vonn Bell and Germaine Pratt),,
2,10:59,2,1,CIN 49,16,0,Justin Jackson left guard for 5 yards (tackle by Trey Hendrickson and Joe Bachie),,
2,10:20,1,10,CIN 44,22,0,"Justin Herbert pass complete deep left to Jalen Guyton for 44 yards, touchdown. Penalty on Jessie Bates: Defensive Pass Interference, 43 yards (declined)",,
2,10:12,,,CIN 2,24,0,Two Point Attempt: Keenan Allen pass complete to to Justin Herbert for no gain,,
2,10:12,,,LAC 35,24,0,"Dustin Hopkins kicks off 65 yards, touchback.",,
2,10:12,1,10,CIN 25,24,0,Joe Mixon up the middle for 6 yards (tackle by Breiden Fehoko),,
2,9:33,2,4,CIN 31,24,0,Joe Burrow pass incomplete short right intended for Tyler Boyd,,
2,9:27,3,4,CIN 31,24,0,Joe Burrow pass complete short middle to Tyler Boyd for 32 yards (tackle by Derwin James),,
2,8:47,1,10,LAC 37,24,0,"Joe Mixon up the middle for 2 yards (tackle by Nasir Adderley). Penalty on Trey Hill: Offensive Holding, 10 yards (accepted)",,
2,8:21,1,18,LAC 45,24,0,Joe Burrow pass complete deep middle to Tyler Boyd for 16 yards (tackle by Nasir Adderley),,
2,7:44,2,2,LAC 29,24,6,"Joe Burrow pass complete deep middle to Tee Higgins for 29 yards, touchdown",,
2,7:39,,,,,,Timeout #1 by Cincinnati Bengals,,
2,7:39,,,LAC 15,24,6,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",,
2,7:39,,,LAC 20,24,6,Evan McPherson kicks extra point no good,,
2,7:39,,,CIN 35,24,6,"Evan McPherson kicks off 68 yards, returned by Andre Roberts for 24 yards (tackle by Trayveon Williams and Stanley Morgan)",,
2,7:34,1,10,LAC 21,24,6,Justin Herbert pass complete deep left to Jared Cook for 23 yards (tackle by Mike Hilton),,
2,6:51,1,10,LAC 44,24,6,Justin Herbert pass complete short middle to Justin Jackson for 7 yards (tackle by Joe Bachie and Trey Hendrickson),,
2,6:10,2,3,CIN 49,24,6,Austin Ekeler right guard for no gain (tackle by Germaine Pratt),,
2,5:26,3,3,CIN 49,24,6,Justin Herbert pass complete short right to Jared Cook for 4 yards (tackle by Jessie Bates),,
2,4:46,1,10,CIN 45,24,6,Justin Jackson right tackle for 2 yards (tackle by Larry Ogunjobi and Mike Hilton),,
2,4:27,2,8,CIN 43,24,6,Justin Herbert pass incomplete deep right intended for Keenan Allen,,
2,4:22,3,8,CIN 43,24,6,"Justin Herbert pass complete short right to Austin Ekeler for 7 yards. Austin Ekeler fumbles (forced by Germaine Pratt), recovered by Jessie Bates at CIN-35 and returned for 46 yards (tackle by Justin Herbert) Replay Assistant challenged the fumble ruling, and the play was upheld.",,
2,4:09,1,10,LAC 19,24,6,"Penalty on Jerry Tillery: Encroachment, 5 yards (accepted) (no play)",,
2,4:09,1,5,LAC 14,24,6,Joe Mixon left guard for 6 yards (tackle by Justin Jones and Derwin James),,
2,3:29,1,8,LAC 8,24,6,Joe Mixon right guard for 2 yards (tackle by Jerry Tillery and Kyler Fackrell),,
2,2:45,2,6,LAC 6,24,12,"Joe Burrow scrambles up the middle for 6 yards, touchdown",,
2,2:40,,,LAC 15,24,13,Evan McPherson kicks extra point good,,
2,2:40,,,CIN 35,24,13,"Evan McPherson kicks off 65 yards, returned by Andre Roberts for 27 yards (tackle by Tre Flowers)",,
2,2:35,1,10,LAC 27,24,13,Justin Herbert pass complete short middle to Jalen Guyton for 12 yards (tackle by Joe Bachie and Vonn Bell),,
2,2:06,1,10,LAC 39,24,13,Austin Ekeler left guard for 5 yards (tackle by Joe Bachie),,
2,2:00,2,5,LAC 44,24,13,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Mike Hilton),,
2,1:56,1,10,CIN 49,24,13,Justin Herbert sacked by Larry Ogunjobi for -9 yards,,
2,1:34,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:34,2,19,LAC 42,24,13,Justin Herbert sacked by and B.J. Hill for -6 yards and Sam Hubbard for -6 yards,,
2,1:26,,,,,,Timeout #3 by Cincinnati Bengals,,
2,1:26,3,25,LAC 36,24,13,Justin Herbert pass deep right intended for Josh Palmer is intercepted by Chidobe Awuzie at CIN-12 and returned for no gain (tackle by Josh Palmer),,
2,1:19,1,10,CIN 12,24,13,Joe Burrow pass complete short right to Tyler Boyd for 5 yards (tackle by Tevaughn Campbell),,
2,1:14,2,5,CIN 17,24,13,Joe Burrow pass complete short left to Tee Higgins for 7 yards (tackle by Tevaughn Campbell),,
2,1:09,1,10,CIN 24,24,13,Joe Burrow pass incomplete short right intended for C.J. Uzomah,,
2,1:05,2,10,CIN 24,24,13,Samaje Perine up the middle for 17 yards (tackle by Drue Tranquill and Nasir Adderley),,
2,0:43,1,10,CIN 41,24,13,Joe Burrow pass complete short middle to Samaje Perine for no gain (tackle by Kyzir White),,
2,0:21,2,10,CIN 41,24,13,Joe Burrow pass complete short left to Samaje Perine for 5 yards (tackle by Drue Tranquill),,
Quarter,Time,Down,ToGo,Location,LAC,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,24,13,"Dustin Hopkins kicks off 65 yards, touchback.",,
3,15:00,1,10,CIN 25,24,13,Joe Mixon right guard for 2 yards (tackle by Kyzir White),,
3,14:41,2,8,CIN 27,24,13,Joe Mixon right guard for 5 yards (tackle by Kyzir White and Drue Tranquill),,
3,14:05,3,3,CIN 32,24,13,Joe Burrow pass complete short middle to Tee Higgins for 9 yards (tackle by Chris Harris),,
3,13:31,1,10,CIN 41,24,13,Joe Mixon right guard for 3 yards (tackle by Kyzir White and Drue Tranquill),,
3,13:05,2,7,CIN 44,24,13,Samaje Perine right tackle for 4 yards (tackle by Joe Gaziano and Chris Rumph),,
3,12:28,3,3,CIN 48,24,13,Joe Burrow pass complete deep left to Tyler Boyd for 20 yards (tackle by Chris Harris),,
3,11:55,1,10,LAC 32,24,13,Samaje Perine right guard for no gain (tackle by Christian Covington),,
3,11:18,2,10,LAC 32,24,13,Joe Burrow pass incomplete intended for Tee Higgins,,
3,11:12,3,10,LAC 32,24,13,"Joe Burrow scrambles for no gain. Penalty on Hakeem Adeniji: Offensive Holding, 10 yards (accepted) (no play)",,
3,10:42,3,20,LAC 42,24,13,Joe Burrow pass complete short right to Tee Higgins for 12 yards (tackle by Drue Tranquill),,
3,9:57,4,8,LAC 30,24,16,Evan McPherson 48 yard field goal good,,
3,9:53,,,CIN 35,24,16,"Evan McPherson kicks off 65 yards, touchback.",,
3,9:47,1,10,LAC 25,24,16,"Justin Herbert pass incomplete short middle intended for Keenan Allen. Penalty on Keenan Allen: Offensive Pass Interference, 10 yards (accepted) (no play)",,
3,9:47,1,20,LAC 15,24,16,"Penalty on Justin Jackson: False Start, 5 yards (accepted) (no play)",,
3,9:47,1,25,LAC 10,24,16,Justin Herbert pass complete short right to Austin Ekeler for 12 yards (tackle by Joe Bachie),,
3,9:07,2,13,LAC 22,24,16,"Justin Herbert pass complete short middle to Austin Ekeler for 9 yards. Austin Ekeler fumbles (forced by Mike Hilton), recovered by Germaine Pratt at LAC-32",,
3,9:00,1,10,LAC 32,24,16,Joe Burrow pass incomplete short middle,,
3,8:57,2,10,LAC 32,24,16,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Tevaughn Campbell and Nasir Adderley),,
3,8:16,3,4,LAC 26,24,16,Joe Burrow pass complete short middle to Ja'Marr Chase for 9 yards (tackle by Drue Tranquill),,
3,7:34,1,10,LAC 17,24,16,"Joe Mixon right guard for 10 yards (tackle by Kyzir White). Penalty on Joe Gaziano: Defensive Offside, 5 yards (declined)",,
3,7:14,1,7,LAC 7,24,22,"Joe Mixon right guard for 7 yards, touchdown",,
3,7:10,,,LAC 15,24,22,"Penalty on LAC: Defensive Too Many Men on Field, 1 yard (accepted) (no play)",,
3,7:10,1,1,LAC 1,24,22,"Two Point Attempt: Joe Mixon rushes, conversion fails.",,
3,7:10,,,CIN 35,24,22,"Evan McPherson kicks off 65 yards, touchback.",,
3,7:10,1,10,LAC 25,24,22,Justin Herbert pass incomplete short left intended for Mike Williams,,
3,7:04,2,10,LAC 25,24,22,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Germaine Pratt),,
3,6:27,3,3,LAC 32,24,22,Justin Herbert pass complete short middle to Keenan Allen for 6 yards (tackle by Germaine Pratt),,
3,5:48,1,10,LAC 38,24,22,Austin Ekeler right guard for 4 yards (tackle by Cameron Sample and Mike Hilton),,
3,5:05,2,6,LAC 42,24,22,Justin Herbert sacked by and Vonn Bell for -12 yards and Cameron Sample for -12 yards,,
3,4:19,3,18,LAC 30,24,22,Justin Herbert sacked by Trey Hendrickson for -6 yards,,
3,3:37,4,24,LAC 24,24,22,"Ty Long punts 49 yards, returned by Trenton Irwin for 5 yards (tackle by Chris Rumph and Kemon Hall)",,
3,3:24,1,10,CIN 32,24,22,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards,,
3,2:51,1,10,CIN 43,24,22,Joe Mixon left tackle for 3 yards (tackle by Drue Tranquill),,
3,2:15,2,7,CIN 46,24,22,Joe Burrow pass incomplete short left,,
3,2:12,3,7,CIN 46,24,22,Joe Burrow sacked by and Derwin James for -7 yards and Nasir Adderley for -7 yards,,
3,1:48,4,14,CIN 39,24,22,"Kevin Huber punts 46 yards, fair catch by Andre Roberts at LAC-15",,
3,1:41,1,10,LAC 15,24,22,Justin Herbert pass incomplete short right intended for Keenan Allen,,
3,1:37,2,10,LAC 15,24,22,Justin Herbert pass complete short left to Donald Parham for -3 yards (tackle by Jessie Bates),,
3,0:55,3,13,LAC 12,24,22,Justin Herbert pass incomplete deep right intended for Jared Cook,,
3,0:45,4,13,LAC 12,24,22,"Ty Long punts 45 yards, fair catch by Trenton Irwin at CIN-43",,
3,0:38,1,10,CIN 43,24,22,Joe Mixon right guard for 3 yards (tackle by Breiden Fehoko and Derwin James),,
Quarter,Time,Down,ToGo,Location,LAC,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CIN 46,24,22,Joe Burrow pass complete short middle to Tyler Boyd for 12 yards (tackle by Derwin James),,
4,14:23,1,10,LAC 42,24,22,Joe Mixon left end for 8 yards (tackle by Drue Tranquill),,
4,13:53,2,2,LAC 34,30,22,"Joe Mixon right guard for -5 yards. Joe Mixon fumbles (forced by Christian Covington), recovered by Tevaughn Campbell at LAC-39 and returned for 61 yards, touchdown",,
4,13:43,,,CIN 15,30,22,"Penalty on Stephen Anderson: False Start, 5 yards (accepted) (no play)",,
4,13:43,,,CIN 20,31,22,Dustin Hopkins kicks extra point good,,
4,13:43,,,LAC 35,31,22,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,13:43,1,10,CIN 25,31,22,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,,
4,13:40,2,10,CIN 25,31,22,Joe Burrow pass incomplete short middle intended for C.J. Uzomah,,
4,13:36,3,10,CIN 25,31,22,Joe Burrow sacked by Drue Tranquill for -10 yards,,
4,12:59,4,20,CIN 15,31,22,"Kevin Huber punts 38 yards, fair catch by Andre Roberts at LAC-47",,
4,12:52,1,10,LAC 47,31,22,Justin Herbert pass complete short left to Jalen Guyton for 1 yard (tackle by Joe Bachie),,
4,12:10,2,9,LAC 48,31,22,Justin Herbert pass complete short right to Mike Williams for 18 yards (tackle by Jessie Bates),,
4,11:41,1,10,CIN 34,31,22,Justin Herbert pass complete deep middle to Jalen Guyton for 33 yards (tackle by Eli Apple),,
4,10:53,1,1,CIN 1,37,22,"Austin Ekeler left guard for 1 yard, touchdown",,
4,10:49,,,CIN 15,38,22,Dustin Hopkins kicks extra point good,,
4,10:49,,,LAC 35,38,22,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,10:49,1,10,CIN 25,38,22,Joe Burrow sacked by Chris Rumph for -5 yards,,
4,10:08,2,15,CIN 20,38,22,"Joe Burrow pass complete short right to Tee Higgins for 16 yards (tackle by Chris Rumph). Penalty on Chris Rumph: Horse Collar Tackle, 15 yards (accepted)",,
4,9:47,1,10,LAC 49,38,22,Joe Burrow pass incomplete short middle intended for Tyler Boyd,,
4,9:43,2,10,LAC 49,38,22,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards (tackle by Tevaughn Campbell),,
4,9:18,1,10,LAC 35,38,22,Joe Burrow pass complete deep middle to Tee Higgins for 25 yards (tackle by Tevaughn Campbell and Derwin James),,
4,8:44,1,10,LAC 10,38,22,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Michael Davis),,
4,8:36,2,10,LAC 10,38,22,"Joe Burrow scrambles for no gain. Penalty on Tee Higgins: Illegal Shift, 5 yards (accepted) (no play)",,
4,8:07,2,15,LAC 15,38,22,"Joe Burrow pass deep left intended for C.J. Uzomah is intercepted by Chris Harris in end zone and returned for no gain. Penalty on Hakeem Adeniji: Offensive Holding, 10 yards (declined)",,
4,8:00,1,10,LAC 20,38,22,Austin Ekeler left guard for 15 yards (tackle by Mike Hilton and Jessie Bates),,
4,7:15,1,10,LAC 35,38,22,Austin Ekeler left tackle for 1 yard (tackle by Vonn Bell and B.J. Hill),,
4,7:08,,,,,,Timeout #1 by Cincinnati Bengals,,
4,7:08,2,9,LAC 36,38,22,Austin Ekeler left guard for 5 yards (tackle by Vernon Hargreaves and Germaine Pratt),,
4,7:02,,,,,,Timeout #2 by Cincinnati Bengals,,
4,7:02,3,4,LAC 41,38,22,Justin Herbert pass complete short left to Jared Cook for 2 yards (tackle by Vonn Bell),,
4,6:56,,,,,,Timeout #3 by Cincinnati Bengals,,
4,6:56,4,2,LAC 43,38,22,"Ty Long punts 36 yards, fair catch by Trenton Irwin at CIN-21",,
4,6:50,1,10,CIN 21,38,22,Joe Burrow pass incomplete short middle intended for Joe Mixon (defended by Drue Tranquill),,
4,6:46,2,10,CIN 21,38,22,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by Derwin James),,
4,6:23,1,10,CIN 35,38,22,Joe Burrow sacked by Uchenna Nwosu for -5 yards,,
4,5:44,2,15,CIN 30,38,22,Joe Burrow pass incomplete short right intended for Tee Higgins,,
4,5:40,3,15,CIN 30,38,22,Joe Burrow pass complete short left to C.J. Uzomah for 10 yards (tackle by Tevaughn Campbell and Kyzir White),,
4,5:05,4,5,CIN 40,38,22,Joe Burrow pass incomplete short left intended for Tee Higgins,,
4,4:59,1,10,CIN 40,38,22,Austin Ekeler left tackle for 6 yards (tackle by B.J. Hill),,
4,4:15,2,4,CIN 34,38,22,Austin Ekeler right guard for 1 yard (tackle by Germaine Pratt and B.J. Hill),,
4,3:32,3,3,CIN 33,38,22,Justin Jackson left guard for 3 yards (tackle by Joe Bachie),,
4,2:49,1,10,CIN 30,38,22,Justin Jackson left guard for -4 yards (tackle by Germaine Pratt and Joe Bachie),,
4,2:11,2,14,CIN 34,38,22,Justin Jackson left end for 7 yards (tackle by Joe Bachie),,
4,2:00,3,7,CIN 27,38,22,Justin Jackson right tackle for 2 yards (tackle by B.J. Hill and Sam Hubbard),,
4,1:14,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:14,4,5,CIN 25,41,22,Dustin Hopkins 43 yard field goal good,,
4,1:10,,,LAC 35,41,22,"Dustin Hopkins kicks off 65 yards, touchback.",,
4,1:10,1,10,CIN 25,41,22,Samaje Perine right tackle for 5 yards (tackle by Nick Niemann),,
4,0:39,2,5,CIN 30,41,22,Samaje Perine up the middle for 10 yards (tackle by Amen Ogbongbemiga and Trey Marshall),,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
