Quarter,Time,Tm,Detail,LAC,CIN
1.0,11:31,Chargers,Keenan Allen 4 yard pass from Justin Herbert (Dustin Hopkins kick failed),6,0
,6:28,Chargers,Dustin Hopkins 43 yard field goal,9,0
,1:34,Chargers,Keenan Allen 7 yard pass from Justin Herbert (Dustin Hopkins kick),16,0
2.0,10:12,Chargers,Jalen Guyton 44 yard pass from Justin Herbert (Justin Herbert pass from Keenan Allen),24,0
,7:39,Bengals,Tee Higgins 29 yard pass from Joe Burrow (Evan McPherson kick failed),24,6
,2:40,Bengals,Joe Burrow 6 yard rush (Evan McPherson kick),24,13
3.0,9:53,Bengals,Evan McPherson 48 yard field goal,24,16
,7:10,Bengals,Joe Mixon 7 yard rush (run failed),24,22
4.0,13:43,Chargers,Tevaughn Campbell 61 yard fumble return (Dustin Hopkins kick),31,22
,10:49,Chargers,Austin Ekeler 1 yard rush (Dustin Hopkins kick),38,22
,1:10,Chargers,Dustin Hopkins 43 yard field goal,41,22
