Unnamed: 0,LAC,CIN
First Downs,18,21
Rush-Yds-TDs,22-79-1,25-96-2
Cmp-Att-Yd-TD-INT,26-35-317-3-1,24-40-300-1-2
Sacked-Yards,4-33,6-40
Net Pass Yards,284,260
Total Yards,363,356
Fumbles-Lost,2-2,2-2
Turnovers,3,4
Penalties-Yards,7-51,7-63
Third Down Conv.,4-13,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,28:46,31:14
