Unnamed: 0,KAN,DAL
First Downs,25,21
Rush-Yds-TDs,28-161-3,28-129-1
Cmp-Att-Yd-TD-INT,20-32-340-1-0,22-34-332-3-0
Sacked-Yards,2-8,4-16
Net Pass Yards,332,316
Total Yards,493,445
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,3-17,5-45
Third Down Conv.,7-12,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,28:12,31:48
