Unnamed: 0,SFO,ARI
First Downs,19,21
Rush-Yds-TDs,28-119-0,19-46-0
Cmp-Att-Yd-TD-INT,19-40-217-2-2,32-42-328-3-0
Sacked-Yards,0-0,0-0
Net Pass Yards,217,328
Total Yards,336,374
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,10-93,10-71
Third Down Conv.,9-18,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,28:23,31:37
