Unnamed: 0,TEN,LAC
First Downs,23,14
Rush-Yds-TDs,33-164-1,16-47-0
Cmp-Att-Yd-TD-INT,24-32-237-1-1,19-26-306-2-0
Sacked-Yards,2-11,2-9
Net Pass Yards,226,297
Total Yards,390,344
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,4-32,4-31
Third Down Conv.,9-15,4-9
Fourth Down Conv.,1-1,0-0
Time of Possession,35:23,24:37
