Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
1,4:08,1,10,TEN 33,3,7,Austin Ekeler right guard for 2 yards (tackle by Rashaan Evans),3.380,3.110
1,3:24,2,8,TEN 31,3,7,Philip Rivers pass complete short middle to Keenan Allen for 17 yards (tackle by Kendrick Lewis),3.110,4.650
1,2:39,1,10,TEN 14,3,7,Mike Williams left end for 3 yards (tackle by Kendrick Lewis),4.650,4.520
1,1:59,,,,,,Timeout #1 by Los Angeles Chargers,,
1,1:59,2,7,TEN 11,3,7,Philip Rivers pass incomplete short left intended for Antonio Gates,4.520,3.620
1,1:54,3,7,TEN 11,3,7,Philip Rivers pass incomplete short middle intended for Mike Williams (defended by Logan Ryan),3.620,2.700
1,1:51,4,7,TEN 11,3,10,Michael Badgley 29 yard field goal good,2.700,3.000
1,1:48,,,LAC 35,3,10,"Michael Badgley kicks off 61 yards, returned by Darius Jennings for no gain (tackle by Michael Davis and Justin Jackson)",0.000,1.270
1,1:41,1,10,TEN 35,3,10,Marcus Mariota pass complete short left to Derrick Henry for 21 yards (tackle by Derwin James),1.270,2.650
1,1:02,1,10,LAC 44,3,10,Derrick Henry right tackle for 1 yard (tackle by Darius Philon),2.650,2.250
1,0:27,2,9,LAC 43,3,10,Derrick Henry right tackle for 2 yards (tackle by Brandon Mebane),2.250,1.820
Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,LAC 41,3,10,Marcus Mariota pass complete short left to Tajae Sharpe for 18 yards (tackle by Adrian Phillips),1.820,4.040
2,14:19,1,10,LAC 23,3,10,Derrick Henry left tackle for 1 yard (tackle by Denzel Perryman),4.040,3.630
2,13:43,2,9,LAC 22,3,10,Derrick Henry left guard for 7 yards (tackle by Denzel Perryman),3.630,4.050
2,12:59,3,2,LAC 15,3,10,Marcus Mariota pass incomplete short right intended for Corey Davis,4.050,2.570
2,12:55,4,2,LAC 15,6,10,Ryan Succop 33 yard field goal good,2.570,3.000
2,12:51,,,TEN 35,6,10,"Ryan Succop kicks off 64 yards, returned by Desmond King for no gain (tackle by Dane Cruikshank)",0.000,0.040
2,12:45,1,10,LAC 18,6,10,Austin Ekeler right guard for 2 yards (tackle by Bennie Logan and Harold Landry),0.040,-0.130
2,12:05,2,8,LAC 20,6,10,Philip Rivers pass complete deep right to Tyrell Williams for 26 yards (tackle by Adoree' Jackson),-0.130,1.990
2,11:19,1,10,LAC 46,6,10,Austin Ekeler left guard for 4 yards (tackle by Jayon Brown and DaQuan Jones),1.990,1.990
2,10:41,2,6,LAC 50,6,10,Austin Ekeler right tackle for 2 yards (tackle by Sharif Finch),1.990,1.550
2,9:57,3,4,TEN 48,6,10,Philip Rivers pass incomplete short left intended for Austin Ekeler,1.550,0.070
2,9:51,4,4,TEN 48,6,10,Donnie Jones punts 43 yards downed by Michael Davis,0.070,0.380
2,9:42,1,10,TEN 5,6,10,David Fluellen left guard for 2 yards (tackle by Denzel Perryman),-0.380,-0.630
2,9:05,2,8,TEN 7,6,10,Marcus Mariota pass complete short left to Tajae Sharpe for 10 yards (tackle by Trevor Williams),-0.630,-0.060
2,8:34,1,10,TEN 17,6,10,Marcus Mariota up the middle for 1 yard (tackle by Derwin James and Denzel Perryman),-0.060,-0.420
2,7:53,2,9,TEN 18,6,10,Dion Lewis left guard for 17 yards (tackle by Derwin James and Desmond King),-0.420,1.270
2,7:08,1,10,TEN 35,6,10,Dion Lewis right tackle for 2 yards (tackle by Brandon Mebane),1.270,0.990
2,6:29,2,8,TEN 37,6,10,Marcus Mariota pass complete short right to Dion Lewis for 6 yards (tackle by Corey Liuget),0.990,1.090
2,5:40,,,,,,Timeout #1 by Tennessee Titans,,
2,5:40,3,2,TEN 43,6,10,Dion Lewis left end for 3 yards (tackle by Casey Hayward),1.090,1.990
2,5:02,1,10,TEN 46,6,10,"Taywan Taylor right end for no gain (tackle by Derwin James). Penalty on Jonnu Smith: Illegal Block Above the Waist, 10 yards (no play)",1.990,1.330
2,4:35,1,20,TEN 36,6,10,"Marcus Mariota left end for no gain Marcus Mariota pass complete short left to Dion Lewis for 10 yards (tackle by Trevor Williams). Penalty on Marcus Mariota: Illegal Forward Pass, 5 yards",1.330,-0.170
2,4:05,2,22,TEN 34,6,10,Dion Lewis right tackle for 12 yards (tackle by Jahleel Addae),-0.170,0.760
2,3:28,3,10,TEN 46,6,10,Marcus Mariota pass complete short middle to Tajae Sharpe for 19 yards (tackle by Jatavis Brown),0.760,3.250
2,3:02,1,10,LAC 35,6,10,Marcus Mariota pass complete short left to Taywan Taylor for 8 yards (tackle by Desmond King),3.250,3.780
2,2:38,2,2,LAC 27,6,10,Marcus Mariota right end for 4 yards (tackle by Casey Hayward),3.780,4.040
2,2:00,1,10,LAC 23,6,10,Marcus Mariota pass complete short right to Cameron Batson for no gain (tackle by Melvin Ingram),4.040,3.500
2,1:20,2,10,LAC 23,6,10,Marcus Mariota pass complete short middle to Jonnu Smith for 8 yards (tackle by Jatavis Brown),3.500,4.050
2,0:45,3,2,LAC 15,6,10,Marcus Mariota pass complete short left to Corey Davis for 5 yards (tackle by Casey Hayward),4.050,4.910
2,0:39,,,,,,Timeout #2 by Tennessee Titans,,
2,0:39,1,10,LAC 10,6,10,Marcus Mariota pass short middle (defended by Melvin Ingram) intended for Jonnu Smith is intercepted by Denzel Perryman at LAC-4 and returned for 16 yards,4.910,-0.280
2,0:29,1,10,LAC 20,6,10,Austin Ekeler left guard for 1 yard (tackle by Jayon Brown),0.280,-0.130
Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,6,10,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,6,10,Philip Rivers pass complete short left to Travis Benjamin for 13 yards (tackle by Adoree' Jackson),0.610,1.470
3,14:29,1,10,LAC 38,6,10,Philip Rivers pass complete short left to Austin Ekeler for 7 yards (tackle by Jayon Brown),1.470,1.870
3,13:52,2,3,LAC 45,6,16,"Philip Rivers pass complete deep right to Mike Williams for 55 yards, touchdown",1.870,7.000
3,13:46,,,TEN 15,6,17,Michael Badgley kicks extra point good,0.000,0.000
3,13:46,,,LAC 35,6,17,"Michael Badgley kicks off 59 yards, returned by Darius Jennings for no gain (tackle by Michael Badgley and Justin Jackson). Penalty on Rayshawn Jenkins: Unnecessary Roughness, 15 yards",0.000,2.790
3,13:39,1,10,LAC 42,6,17,Derrick Henry left guard for 6 yards (tackle by Brandon Mebane and Derwin James),2.790,3.050
3,13:01,2,4,LAC 36,6,17,Marcus Mariota pass complete short middle to Luke Stocker for 10 yards (tackle by Kyle Emanuel),3.050,3.840
3,12:25,1,10,LAC 26,6,17,Marcus Mariota sacked by Melvin Ingram for -7 yards,3.840,2.350
3,11:45,2,17,LAC 33,6,17,Marcus Mariota pass complete short left to Dion Lewis for 21 yards (tackle by Adrian Phillips),2.350,4.780
3,11:10,1,10,LAC 12,6,17,Dion Lewis right end for 8 yards (tackle by Derwin James),4.780,5.600
3,10:26,2,2,LAC 4,6,17,Marcus Mariota pass complete short middle to Jonnu Smith for 3 yards (tackle by Denzel Perryman),5.600,6.970
3,9:46,1,1,LAC 1,12,17,"Derrick Henry up the middle for 1 yard, touchdown",6.970,7.000
3,9:43,,,LAC 15,13,17,Ryan Succop kicks extra point good,0.000,0.000
3,9:43,,,TEN 35,13,17,"Ryan Succop kicks off 70 yards, returned by Desmond King for no gain (tackle by Brynden Trawick)",0.000,0.610
3,9:36,1,10,LAC 25,13,17,Justin Jackson right end for 1 yard (tackle by Wesley Woodyard),0.610,0.200
3,8:55,2,9,LAC 26,13,17,Philip Rivers pass complete short right to Justin Jackson for 11 yards (tackle by Jayon Brown),0.200,1.400
3,8:13,1,10,LAC 37,13,17,Philip Rivers pass complete short middle to Tyrell Williams for 6 yards (tackle by Malcolm Butler),1.400,1.670
3,7:32,2,4,LAC 43,13,17,Philip Rivers sacked by Jurrell Casey and Kamalei Correa for -8 yards,1.670,-0.100
3,6:45,3,12,LAC 35,13,17,Philip Rivers pass complete short right to Tyrell Williams for 11 yards (tackle by Adoree' Jackson),-0.100,-0.320
3,6:14,4,1,LAC 46,13,17,"Penalty on LAC: Delay of Game, 5 yards (no play)",-0.320,-0.650
3,5:45,4,6,LAC 41,13,17,"Donnie Jones punts 40 yards, returned by Adoree' Jackson for no gain (tackle by Michael Davis)",-0.650,-0.150
3,5:38,1,10,TEN 19,13,17,Derrick Henry right guard for 6 yards (tackle by Brandon Mebane),0.150,0.480
3,5:02,2,4,TEN 25,13,17,"Derrick Henry left end for no gain (tackle by Denzel Perryman). Penalty on Corey Levin: Clipping, 12 yards (no play)",0.480,-1.210
3,4:48,2,16,TEN 13,13,17,Marcus Mariota left end for 11 yards (tackle by Adrian Phillips),-1.210,-0.420
3,4:12,3,5,TEN 24,13,17,Marcus Mariota pass incomplete short middle intended for Corey Davis (defended by Adrian Phillips),-0.420,-1.770
3,4:07,4,5,TEN 24,13,17,"Brett Kern punts 54 yards, returned by Desmond King for 12 yards (tackle by Harold Landry)",-1.770,-1.200
3,3:56,1,10,LAC 34,13,17,Austin Ekeler left end for 11 yards (tackle by Logan Ryan and Wesley Woodyard),1.200,1.930
3,3:25,1,10,LAC 45,13,17,Philip Rivers pass complete short left to Austin Ekeler for 5 yards (tackle by Kendrick Lewis and Jayon Brown),1.930,2.060
3,2:41,2,5,LAC 50,13,17,Philip Rivers pass incomplete short right,2.060,1.360
3,2:36,3,5,LAC 50,13,17,Philip Rivers pass complete short right to Antonio Gates for 7 yards (tackle by Kevin Byard),1.360,2.720
3,1:56,1,10,TEN 43,13,17,Austin Ekeler up the middle for 4 yards (tackle by Austin Johnson),2.720,2.720
3,1:22,,,,,,Timeout #1 by Tennessee Titans,,
3,1:22,2,6,TEN 39,13,17,Philip Rivers sacked by Jayon Brown for -1 yards,2.720,1.880
3,0:39,3,7,TEN 40,13,17,Philip Rivers pass complete short middle to Keenan Allen for 13 yards (tackle by Logan Ryan),1.880,3.780
Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TEN 27,13,17,Austin Ekeler left end for 9 yards (tackle by Kendrick Lewis),3.780,4.530
4,14:26,2,1,TEN 18,13,17,Austin Ekeler left tackle for -3 yards (tackle by DaQuan Jones),4.530,3.340
4,13:46,3,4,TEN 21,13,17,Philip Rivers pass complete short middle to Keenan Allen for 7 yards (tackle by Logan Ryan),3.340,4.650
4,13:22,1,10,TEN 14,13,17,Philip Rivers pass complete short right to Austin Ekeler for 4 yards (tackle by Wesley Woodyard),4.650,4.710
4,12:41,2,6,TEN 10,13,17,Philip Rivers pass incomplete short right intended for Virgil Green,4.710,3.820
4,12:36,3,6,TEN 10,13,17,Philip Rivers pass incomplete short middle intended for Mike Williams (defended by Logan Ryan),3.820,2.790
4,12:33,4,6,TEN 10,13,20,Michael Badgley 28 yard field goal good,2.790,3.000
4,12:29,,,LAC 35,13,20,"Michael Badgley kicks off 62 yards, returned by Darius Jennings for no gain (tackle by Adrian Phillips)",0.000,1.140
4,12:22,1,10,TEN 33,13,20,Dion Lewis right tackle for 5 yards (tackle by Damion Square),1.140,1.270
4,11:48,2,5,TEN 38,13,20,Marcus Mariota pass complete short left to Dion Lewis for 10 yards (tackle by Derwin James and Denzel Perryman),1.270,2.130
4,11:10,1,10,TEN 48,13,20,Marcus Mariota pass incomplete deep middle intended for Taywan Taylor,2.130,1.580
4,11:06,2,10,TEN 48,13,20,Marcus Mariota pass complete short right to Corey Davis for no gain (tackle by Desmond King),1.580,0.890
4,10:21,3,10,TEN 48,13,20,Marcus Mariota pass complete short middle to Tajae Sharpe for 16 yards (tackle by Desmond King),0.890,3.180
4,9:43,1,10,LAC 36,13,20,Dion Lewis left tackle for -1 yards (tackle by Corey Liuget),3.180,2.500
4,9:12,2,11,LAC 37,13,20,Marcus Mariota pass complete short middle to Dion Lewis for 4 yards (tackle by Derwin James),2.500,2.350
4,8:30,3,7,LAC 33,13,20,Marcus Mariota pass incomplete short right intended for Corey Davis,2.350,1.150
4,8:26,4,7,LAC 33,13,20,Ryan Succop 51 yard field goal no good,1.150,-1.660
4,8:21,1,10,LAC 41,13,20,Philip Rivers pass complete short left to Austin Ekeler for -1 yards (tackle by Kamalei Correa),1.660,0.990
4,7:36,2,11,LAC 40,13,20,Philip Rivers pass incomplete short left intended for Austin Ekeler,0.990,0.300
4,7:33,3,11,LAC 40,13,20,Philip Rivers pass complete short middle to Keenan Allen for 11 yards (tackle by Logan Ryan). Penalty on Logan Ryan: Defensive Holding (Declined),0.300,2.320
4,7:11,1,10,TEN 49,13,20,Austin Ekeler left tackle for no gain (tackle by Jayon Brown),2.320,1.780
4,6:28,2,10,TEN 49,13,20,Justin Jackson right tackle for 2 yards (tackle by Wesley Woodyard),1.780,1.360
4,5:46,3,8,TEN 47,13,20,Philip Rivers pass complete short right to Antonio Gates for 4 yards (tackle by Brian Orakpo),1.360,0.400
4,4:59,4,4,TEN 43,13,20,"Donnie Jones punts 32 yards, fair catch by Adoree' Jackson at TEN-11",0.400,0.370
4,4:55,1,10,TEN 11,13,20,Dion Lewis up the middle for 4 yards (tackle by Derwin James and Darius Philon),-0.370,-0.430
4,4:24,2,6,TEN 15,13,20,Dion Lewis left tackle for 5 yards (tackle by Darius Philon),-0.430,-0.370
4,3:47,3,1,TEN 20,13,20,Derrick Henry left guard for 3 yards (tackle by Darius Philon),-0.370,0.480
4,3:05,1,10,TEN 23,13,20,Marcus Mariota left end for 11 yards (tackle by Casey Hayward),0.480,1.200
4,2:58,1,10,TEN 34,13,20,Dion Lewis right guard for 36 yards (tackle by Desmond King),1.200,3.580
4,2:13,1,10,LAC 30,13,20,Marcus Mariota pass complete deep left to Tajae Sharpe for 16 yards,3.580,4.650
4,2:08,1,10,LAC 14,13,20,Derrick Henry left tackle for 2 yards (tackle by Melvin Ingram),4.650,4.330
4,2:00,2,8,LAC 12,13,20,Derrick Henry right guard for 4 yards (tackle by Corey Liuget),4.330,4.280
4,1:22,3,4,LAC 8,13,20,Marcus Mariota pass complete short middle to Tajae Sharpe for 6 yards (tackle by Denzel Perryman and Jahleel Addae),4.280,6.740
4,0:47,1,2,LAC 2,13,20,Dion Lewis left guard for -1 yards (tackle by Uchenna Nwosu),6.740,5.530
4,0:43,,,,,,Timeout #3 by Tennessee Titans,,
4,0:43,2,3,LAC 3,13,20,Marcus Mariota pass incomplete short middle intended for Corey Davis,5.530,4.720
4,0:40,3,3,LAC 3,13,20,Marcus Mariota left guard for 2 yards (tackle by Damion Square and Adrian Phillips),4.720,3.550
4,0:35,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:35,4,1,LAC 1,19,20,"Marcus Mariota pass complete short left to Luke Stocker for 1 yard, touchdown",3.550,7.000
4,0:31,,,LAC 2,19,20,"Two Point Attempt: Marcus Mariota pass incomplete intended for Tajae Sharpe, conversion fails. Penalty on Derwin James: Defensive Holding, 1 yard (no play)",0.000,0.000
4,0:31,,,LAC 1,19,20,"Two Point Attempt: Marcus Mariota pass incomplete intended for Taywan Taylor, conversion fails",0.000,-1.000
4,0:31,,,TEN 35,19,20,"Ryan Succop kicks onside 14 yards, returned by Keenan Allen for no gain",0.000,-2.320
4,0:30,1,10,TEN 49,19,20,Philip Rivers kneels for -1 yards,2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
