Quarter,Time,Down,ToGo,Location,NWE,LAR,Detail,EPB,EPA
1,6:27,2,20,NWE 35,0,7,Cam Akers right tackle for 2 yards (tackle by Josh Uche),2.010,1.620
1,6:06,3,18,NWE 33,0,7,Jared Goff pass complete short left to Cam Akers for 16 yards (tackle by Ja'Whaun Bentley),1.620,2.440
1,5:20,4,2,NWE 17,0,10,Matt Gay 35 yard field goal good,2.440,3.000
1,5:16,,,LAR 35,0,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,5:16,1,10,NWE 25,0,10,Cam Newton pass complete short left to Damiere Byrd for 5 yards (tackle by Jalen Ramsey),0.610,0.740
1,4:42,2,5,NWE 30,0,10,James White up the middle for 3 yards (tackle by Sebastian Joseph and Troy Reeder),0.740,0.430
1,4:01,3,2,NWE 33,0,10,Cam Newton pass incomplete short middle intended for Jakobi Meyers (defended by Sebastian Joseph),0.430,-1.180
1,3:58,4,2,NWE 33,0,10,Jake Bailey punts 54 yards downed by Justin Bethel,-1.180,0.320
1,3:48,1,10,LAR 13,0,10,Jared Goff pass incomplete short middle intended for Josh Reynolds,-0.320,-0.770
1,3:42,2,10,LAR 13,0,10,Jared Goff pass complete short left to Gerald Everett for 9 yards (tackle by John Simon),-0.770,-0.350
1,3:11,3,1,LAR 22,0,10,Cam Akers left tackle for 1 yard (tackle by Ja'Whaun Bentley),-0.350,0.480
1,2:27,1,10,LAR 23,0,10,"Darrell Henderson right end for 4 yards (tackle by John Simon). Penalty on Tyler Higbee: Offensive Holding, 10 yards (no play)",0.480,-0.590
1,2:01,1,20,LAR 13,0,10,Jared Goff pass complete short right to Robert Woods for 7 yards (tackle by John Simon),-0.590,-0.470
1,1:39,2,13,LAR 20,0,10,Jared Goff left end for 9 yards (tackle by Anfernee Jennings),-0.470,0.040
1,1:00,3,4,LAR 29,0,10,Jared Goff pass short right intended for Robert Woods is intercepted by Myles Bryant at LA-32 and returned for no gain,0.040,-3.450
1,0:57,1,10,LAR 32,0,10,Damien Harris right tackle for 12 yards (tackle by David Long),3.450,4.240
1,0:24,1,10,LAR 20,0,10,Damien Harris up the middle for 1 yard (tackle by Michael Brockers and Justin Hollins),4.240,3.820
Quarter,Time,Down,ToGo,Location,NWE,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,LAR 19,0,16,"Cam Newton pass short right intended for Damien Harris is intercepted by Kenny Young at LA-21 and returned for 79 yards, touchdown",3.820,-7.000
2,14:46,,,NWE 15,0,17,Matt Gay kicks extra point good,0.000,0.000
2,14:46,,,LAR 35,0,17,"Matt Gay kicks off 25 yards, out of bounds",0.000,1.600
2,14:46,1,10,NWE 40,0,17,Damien Harris up the middle for 6 yards (tackle by Jalen Ramsey and Sebastian Joseph),1.600,1.860
2,14:08,2,4,NWE 46,0,17,Damien Harris up the middle for 5 yards (tackle by Troy Reeder and Kenny Young),1.860,2.320
2,13:29,1,10,LAR 49,0,17,Damien Harris right guard for 9 yards (tackle by John Johnson and Kenny Young),2.320,3.000
2,12:47,2,1,LAR 40,0,17,Sony Michel up the middle for 8 yards (tackle by Sebastian Joseph),3.000,3.450
2,12:10,1,10,LAR 32,0,17,"Cam Newton right end for 6 yards (tackle by Aaron Donald). Penalty on David Andrews: Offensive Holding, 10 yards (no play)",3.450,2.790
2,11:42,1,20,LAR 42,0,17,Cam Newton pass complete deep middle to Damiere Byrd for 25 yards (tackle by Jordan Fuller),2.790,4.440
2,10:57,1,10,LAR 17,0,17,Cam Newton right tackle for 4 yards (tackle by John Johnson),4.440,4.500
2,10:19,2,6,LAR 13,0,17,Damien Harris left end for 4 yards (tackle by Greg Gaines and Darious Williams),4.500,4.570
2,9:36,3,2,LAR 9,0,17,Cam Newton right tackle for 3 yards (tackle by Sebastian Joseph),4.570,5.830
2,9:02,1,6,LAR 6,0,17,Damien Harris up the middle for 1 yard (tackle by Jordan Fuller),5.830,5.150
2,8:20,2,5,LAR 5,0,17,Sony Michel right tackle for 2 yards (tackle by Troy Reeder),5.150,4.720
2,7:35,3,3,LAR 3,0,17,Cam Newton up the middle for 1 yard (tackle by Michael Brockers and John Johnson),4.720,3.250
2,6:52,4,2,LAR 2,0,17,Cam Newton left tackle for -2 yards (tackle by Justin Hollins),3.250,0.380
2,6:48,1,10,LAR 4,0,17,Cam Akers right guard for 1 yard (tackle by Adrian Phillips),-0.380,-0.710
2,6:18,2,9,LAR 5,0,17,Cam Akers left end for 4 yards (tackle by Lawrence Guy),-0.710,-0.840
2,5:45,3,5,LAR 9,0,17,Jared Goff pass complete short right to Tyler Higbee for 9 yards (tackle by Jonathan Jones),-0.840,0.040
2,5:23,1,10,LAR 18,0,17,Jared Goff pass incomplete short left intended for Cam Akers,0.040,-0.490
2,5:16,2,10,LAR 18,0,17,Jared Goff pass incomplete short right intended for Gerald Everett,-0.490,-1.170
2,5:14,3,10,LAR 18,0,17,Jared Goff pass complete short right to Cam Akers for 7 yards (tackle by Ja'Whaun Bentley),-1.170,-1.700
2,4:47,4,3,LAR 25,0,17,"Johnny Hekker punts 43 yards, fair catch by Gunner Olszewski at NE-32",-1.700,-1.070
2,4:40,1,10,NWE 32,0,17,Cam Newton pass complete deep left to Jakobi Meyers for 31 yards (tackle by David Long),1.070,3.120
2,4:04,1,10,LAR 37,0,17,Damien Harris right end for no gain (tackle by Morgan Fox),3.120,2.570
2,3:21,2,10,LAR 37,0,17,Cam Newton pass complete short right to Damiere Byrd for 5 yards (tackle by John Johnson),2.570,2.540
2,2:40,3,5,LAR 32,0,17,Cam Newton pass complete short middle to N'Keal Harry for 13 yards (tackle by Jordan Fuller),2.540,4.310
2,2:00,1,10,LAR 19,0,17,"Cam Newton aborted snap, recovered by Damien Harris at LA-24",4.310,3.090
2,1:57,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:57,2,15,LAR 24,0,17,Cam Newton up the middle for 7 yards (tackle by Troy Reeder),3.090,3.260
2,1:14,3,8,LAR 17,0,17,Cam Newton pass complete short middle to Jakobi Meyers for 6 yards (tackle by Kenny Young),3.260,2.820
2,1:08,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:08,4,2,LAR 11,3,17,Nick Folk 29 yard field goal good,2.820,3.000
2,1:04,,,NWE 35,3,17,"Jake Bailey kicks off 52 yards, returned by Van Jefferson for 13 yards (tackle by Justin Bethel)",0.000,0.670
2,1:00,1,10,LAR 26,3,17,Jared Goff pass complete short middle to Cooper Kupp for 6 yards (tackle by Adrian Phillips),0.670,0.940
2,0:41,2,4,LAR 32,3,17,Jared Goff pass incomplete short left intended for Malcolm Brown,0.940,0.230
2,0:36,3,4,LAR 32,3,17,Jared Goff pass complete short middle to Cooper Kupp for 2 yards (tackle by Adrian Phillips and Jonathan Jones),0.230,-1.110
2,0:28,,,,,,Timeout #1 by New England Patriots,,
2,0:28,4,2,LAR 34,3,17,"Johnny Hekker punts 48 yards, returned by Gunner Olszewski for 19 yards (tackle by Nick Scott and Natrez Patrick)",-1.110,-1.400
2,0:15,1,10,NWE 37,3,17,Cam Newton pass complete short middle to Jakobi Meyers for 4 yards (tackle by Jordan Fuller),1.400,1.400
2,0:08,,,,,,Timeout #2 by New England Patriots,,
2,0:08,2,6,NWE 41,3,17,Cam Newton pass incomplete short left intended for Damiere Byrd,1.400,0.700
2,0:04,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:04,3,6,NWE 41,3,17,James White up the middle for 4 yards (tackle by Ogbonnia Okoronkwo and John Johnson). Penalty on N'Keal Harry: Illegal Block Above the Waist,0.700,-0.390
Quarter,Time,Down,ToGo,Location,NWE,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,3,17,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,3,17,Cam Newton sacked by Michael Brockers for -10 yards,0.610,-1.430
3,14:14,2,20,NWE 15,3,17,Cam Newton pass complete deep left to N'Keal Harry for 30 yards (tackle by Darious Williams),-1.430,1.930
3,13:37,1,10,NWE 45,3,17,Damien Harris right tackle for 7 yards (tackle by Leonard Floyd),1.930,2.330
3,13:16,2,3,LAR 48,3,17,Damien Harris up the middle for 4 yards (tackle by Sebastian Joseph),2.330,2.650
3,12:50,1,10,LAR 44,3,17,Cam Newton sacked by Aaron Donald for -7 yards,2.650,1.170
3,12:07,2,17,NWE 49,3,17,James White right tackle for 9 yards (tackle by Kenny Young),1.170,1.690
3,11:30,3,8,LAR 42,3,17,Cam Newton pass incomplete deep right intended for N'Keal Harry,1.690,0.460
3,11:24,4,8,LAR 42,3,17,Jake Bailey punts 32 yards downed by Justin Bethel,0.460,0.380
3,11:15,1,10,LAR 10,3,17,Cam Akers left tackle for 6 yards (tackle by Stephon Gilmore),-0.380,-0.230
3,10:42,2,4,LAR 16,3,17,Cam Akers left tackle for 6 yards (tackle by Deatrich Wise and Ja'Whaun Bentley),-0.230,0.410
3,10:02,1,10,LAR 22,3,17,Cam Akers right tackle for 8 yards (tackle by Devin McCourty),0.410,0.950
3,9:26,2,2,LAR 30,3,17,Cam Akers right tackle for 25 yards (tackle by J.C. Jackson),0.950,2.590
3,8:49,1,10,NWE 45,3,17,Darrell Henderson up the middle for 3 yards (tackle by Deatrich Wise and Lawrence Guy),2.590,2.450
3,8:08,2,7,NWE 42,3,17,Jared Goff pass complete short left to Robert Woods for 8 yards (tackle by Adrian Phillips),2.450,3.310
3,7:31,1,10,NWE 34,3,17,Darrell Henderson right end for 2 yards (tackle by Chase Winovich),3.310,3.040
3,6:55,2,8,NWE 32,3,17,Cam Akers up the middle for 1 yard (tackle by Lawrence Guy),3.040,2.480
3,6:10,3,7,NWE 31,3,17,Jared Goff pass complete short left to Josh Reynolds for 6 yards (tackle by Jonathan Jones),2.480,1.950
3,5:33,4,1,NWE 25,3,17,Jared Goff up the middle for 2 yards (tackle by Adrian Phillips),1.950,4.040
3,4:50,1,10,NWE 23,3,17,Cam Akers right end for 9 yards (tackle by Devin McCourty),4.040,4.950
3,4:16,2,1,NWE 14,3,17,Cam Akers left tackle for 1 yard (tackle by John Simon),4.950,4.710
3,3:40,1,10,NWE 13,3,17,Jared Goff pass complete short right to Robert Woods for 5 yards (tackle by Stephon Gilmore),4.710,4.960
3,3:08,2,5,NWE 8,3,17,Cam Akers up the middle for 4 yards (tackle by Adam Butler and Akeem Spence),4.960,5.010
3,2:24,3,1,NWE 4,3,17,Cam Akers up the middle for no gain (tackle by Kyle Dugger),5.010,3.040
3,1:38,,,,,,Timeout #1 by Los Angeles Rams,,
3,1:38,4,1,NWE 4,3,17,"Penalty on Akeem Spence: Neutral Zone Infraction, 2 yards (no play)",3.040,6.740
3,1:38,1,2,NWE 2,3,23,"Jared Goff pass complete short right to Cooper Kupp for 2 yards, touchdown",6.740,7.000
3,1:33,,,NWE 15,3,24,Matt Gay kicks extra point good,0.000,0.000
3,1:33,,,LAR 35,3,24,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
3,1:33,1,10,NWE 25,3,24,Cam Newton up the middle for 3 yards (tackle by Kenny Young),0.610,0.470
3,1:05,2,7,NWE 28,3,24,Sony Michel up the middle for 3 yards (tackle by Justin Hollins and Troy Reeder),0.470,0.170
3,0:27,3,4,NWE 31,3,24,Cam Newton sacked by Michael Brockers for -1 yards,0.170,-1.370
Quarter,Time,Down,ToGo,Location,NWE,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,NWE 30,3,24,Jake Bailey punts 40 yards out of bounds,-1.370,-0.940
4,14:51,1,10,LAR 30,3,24,Cam Akers up the middle for 2 yards (tackle by Ja'Whaun Bentley),0.940,0.660
4,14:13,2,8,LAR 32,3,24,Cam Akers left end for 3 yards (tackle by Kyle Dugger and Adam Butler),0.660,0.370
4,13:35,3,5,LAR 35,3,24,Cam Akers right end for 3 yards (tackle by Adrian Phillips),0.370,-0.850
4,12:54,4,2,LAR 38,3,24,"Johnny Hekker punts 39 yards, returned by Gunner Olszewski for 3 yards (tackle by Nsimba Webster and Justin Hollins)",-0.850,-0.670
4,12:45,1,10,NWE 26,3,24,Cam Newton sacked by Kenny Young for -3 yards,0.670,-0.280
4,12:15,2,13,NWE 23,3,24,Cam Newton pass incomplete short middle intended for Damiere Byrd,-0.280,-0.960
4,12:11,3,13,NWE 23,3,24,Cam Newton pass incomplete short right intended for James White,-0.960,-1.830
4,12:06,4,13,NWE 23,3,24,Jake Bailey punts 71 yards downed by Matthew Slater,-1.830,0.380
4,11:53,1,10,LAR 6,3,24,Cam Akers left guard for no gain (tackle by Ja'Whaun Bentley),-0.380,-0.780
4,11:13,2,10,LAR 6,3,24,Cam Akers right tackle for 3 yards (tackle by Lawrence Guy),-0.780,-1.070
4,10:29,3,7,LAR 9,3,24,Jared Goff pass incomplete short left intended for Robert Woods,-1.070,-2.490
4,10:27,4,7,LAR 9,3,24,"Johnny Hekker punts 46 yards, returned by Gunner Olszewski for 21 yards (tackle by Justin Hollins)",-2.490,-3.310
4,10:12,1,10,LAR 34,3,24,Jarrett Stidham pass complete short left to James White for 2 yards (tackle by Leonard Floyd),3.310,3.040
4,9:48,2,8,LAR 32,3,24,Jarrett Stidham pass complete short left to Damiere Byrd for 7 yards (tackle by Jordan Fuller),3.040,3.270
4,9:26,3,1,LAR 25,3,24,Jarrett Stidham up the middle for 3 yards (tackle by Troy Reeder),3.270,4.110
4,9:09,1,10,LAR 22,3,24,Jarrett Stidham sacked by and Leonard Floyd for -6 yards and Aaron Donald for -6 yards,4.110,2.750
4,8:36,2,16,LAR 28,3,24,Jarrett Stidham pass complete short left to Damiere Byrd for 6 yards (tackle by Kenny Young),2.750,2.870
4,8:00,3,10,LAR 22,3,24,Jarrett Stidham pass complete short right to Jakobi Meyers for 6 yards (tackle by Troy Hill),2.870,2.450
4,7:21,4,4,LAR 16,3,24,Jarrett Stidham pass incomplete short middle intended for Devin Asiasi (defended by Troy Hill),2.450,0.140
4,7:16,1,10,LAR 16,3,24,"Penalty on Joseph Noteboom: False Start, 5 yards (no play)",-0.140,-0.540
4,7:16,1,15,LAR 11,3,24,Jared Goff sacked by Byron Cowart for -5 yards,-0.540,-1.510
4,6:34,2,20,LAR 6,3,24,Jared Goff pass complete deep middle to Cooper Kupp for 20 yards (tackle by Stephon Gilmore),-1.510,0.670
4,5:47,1,10,LAR 26,3,24,"Penalty on Gerald Everett: False Start, 5 yards (no play)",0.670,0.340
4,5:47,1,15,LAR 21,3,24,Jared Goff pass incomplete deep right intended for Robert Woods,0.340,-0.550
4,5:40,2,15,LAR 21,3,24,"Penalty on Gerald Everett: False Start, 5 yards (no play)",-0.550,-1.370
4,5:40,2,20,LAR 16,3,24,Cam Akers left tackle for 6 yards (tackle by Deatrich Wise and Ja'Whaun Bentley),-1.370,-1.090
4,4:55,3,14,LAR 22,3,24,Cam Akers right end for 3 yards (tackle by Chase Winovich),-1.090,-1.700
4,4:49,,,,,,Timeout #1 by New England Patriots,,
4,4:49,4,11,LAR 25,3,24,"Johnny Hekker punts 37 yards, returned by Gunner Olszewski for no gain (tackle by Natrez Patrick). Penalty on Justin Bethel: Offensive Holding, 10 yards",-1.700,-0.810
4,4:41,1,10,NWE 28,3,24,Jarrett Stidham pass complete short right to N'Keal Harry for 6 yards (tackle by Jalen Ramsey),0.810,1.070
4,4:18,2,4,NWE 34,3,24,Jarrett Stidham pass incomplete short left intended for Sony Michel,1.070,0.370
4,4:13,3,4,NWE 34,3,24,Jarrett Stidham sacked by Morgan Fox for -6 yards,0.370,-1.500
4,3:38,4,10,NWE 28,3,24,"Jake Bailey punts 54 yards, fair catch by Nsimba Webster at LA-18",-1.500,-0.040
4,3:32,1,10,LAR 18,3,24,Cam Akers right end for 4 yards (tackle by John Simon),0.040,0.140
4,2:48,2,6,LAR 22,3,24,Cam Akers left end for -2 yards (tackle by Adrian Phillips),0.140,-0.910
4,2:04,3,8,LAR 20,3,24,Robert Woods right end for -1 yards (tackle by Tashawn Bower),-0.910,-2.140
4,1:58,4,9,LAR 19,3,24,"Johnny Hekker punts 35 yards, returned by Gunner Olszewski for 4 yards (tackle by Nsimba Webster and Van Jefferson)",-2.140,-2.260
4,1:47,1,10,NWE 50,3,24,Sony Michel right tackle for 1 yard (tackle by A'Shawn Robinson and Greg Gaines),2.260,1.850
4,1:14,2,9,LAR 49,3,24,Sony Michel up the middle for 6 yards (tackle by Jordan Fuller),1.850,1.950
4,0:41,3,3,LAR 43,3,24,Sony Michel up the middle for -1 yards (tackle by Troy Reeder),1.950,0.330
4,0:08,4,4,LAR 44,3,24,Sony Michel up the middle for 3 yards (tackle by Greg Gaines),0.330,-1.660
4,0:05,1,10,LAR 41,3,24,Jared Goff kneels for -1 yards,1.660,0.990
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
