Quarter,Time,Tm,Detail,NWE,LAR
1.0,11:21,Rams,Jared Goff 1 yard rush (Matt Gay kick),0,7
,5:16,Rams,Matt Gay 35 yard field goal,0,10
2.0,14:46,Rams,Kenny Young 79 yard interception return (Matt Gay kick),0,17
,1:04,Patriots,Nick Folk 29 yard field goal,3,17
3.0,1:33,Rams,Cooper Kupp 2 yard pass from Jared Goff (Matt Gay kick),3,24
