Unnamed: 0,NWE,LAR
First Downs,10,17
Rush-Yds-TDs,29-107-0,36-186-1
Cmp-Att-Yd-TD-INT,14-23-146-0-1,16-25-137-1-1
Sacked-Yards,6-33,1-5
Net Pass Yards,113,132
Total Yards,220,318
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,5-27,5-35
Third Down Conv.,3-13,3-14
Fourth Down Conv.,0-3,2-2
Time of Possession,28:14,31:46
