Unnamed: 0,TEN,BAL
First Downs,15,29
Rush-Yds-TDs,37-217-1,29-185-0
Cmp-Att-Yd-TD-INT,8-15-91-3-0,31-59-365-1-2
Sacked-Yards,1-8,4-20
Net Pass Yards,83,345
Total Yards,300,530
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,5-20,7-56
Third Down Conv.,7-13,11-18
Fourth Down Conv.,0-0,0-4
Time of Possession,27:54,32:06
