Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TEN 25,0,0,Derrick Henry left tackle for 2 yards (tackle by L.J. Fort),0.610,0.330
1,14:22,2,8,TEN 27,0,0,Ryan Tannehill pass complete short left to MyCole Pruitt for 15 yards (tackle by L.J. Fort),0.330,1.730
1,13:47,1,10,TEN 42,0,0,Derrick Henry right guard for 4 yards (tackle by Michael Pierce),1.730,1.730
1,13:09,2,6,TEN 46,0,0,Ryan Tannehill pass complete short right to Derrick Henry for -1 yards (tackle by Marcus Peters),1.730,0.890
1,12:20,3,7,TEN 45,0,0,"Penalty on TEN: Delay of Game, 5 yards (no play)",0.890,0.230
1,12:00,3,12,TEN 40,0,0,Ryan Tannehill pass incomplete deep middle intended for A.J. Brown (defended by Jimmy Smith),0.230,-0.720
1,11:54,4,12,TEN 40,0,0,"Brett Kern punts 60 yards, touchback.. Penalty on Dane Cruikshank: Illegal Touch Kick",-0.720,-0.280
1,11:42,1,10,BAL 20,0,0,Lamar Jackson left end for 4 yards (tackle by Rashaan Evans),0.280,0.270
1,11:13,2,6,BAL 24,0,0,Lamar Jackson left tackle for 9 yards (tackle by Kevin Byard),0.270,1.140
1,10:32,1,10,BAL 33,0,0,Mark Ingram right guard for no gain (tackle by Rashaan Evans),1.140,0.590
1,9:52,2,10,BAL 33,0,0,Lamar Jackson pass complete short left to Mark Andrews for 12 yards (tackle by Kevin Byard),0.590,1.930
1,9:20,1,10,BAL 45,0,0,Gus Edwards right guard for 19 yards (tackle by Kevin Byard and Logan Ryan),1.930,3.180
1,8:40,1,10,TEN 36,0,0,Gus Edwards right guard for no gain (tackle by David Long),3.180,2.640
1,8:02,2,10,TEN 36,0,0,"Lamar Jackson pass deep middle intended for Mark Andrews is intercepted by Kevin Byard at TEN-19 and returned for 31 yards. Penalty on Lamar Jackson: Unnecessary Roughness, 15 yards",2.640,-3.250
1,7:49,1,10,BAL 35,0,0,Derrick Henry right guard for 3 yards (tackle by Jihad Ward),3.250,3.110
1,7:14,2,7,BAL 32,0,0,Derrick Henry right guard for 9 yards (tackle by Earl Thomas and Josh Bynes),3.110,4.040
1,6:34,1,10,BAL 23,0,0,Derrick Henry right guard for 7 yards (tackle by Patrick Onwuasor),4.040,4.560
1,6:05,2,3,BAL 16,0,0,Derrick Henry right guard for 1 yard (tackle by Earl Thomas),4.560,4.050
1,5:25,3,2,BAL 15,0,0,"Ryan Tannehill right end for 3 yards (tackle by Patrick Onwuasor). Penalty on Patrick Onwuasor: Unnecessary Roughness, 6 yards",4.050,5.830
1,5:04,1,6,BAL 6,0,0,Derrick Henry right guard for 2 yards (tackle by Jaylon Ferguson),5.830,5.340
1,4:23,2,4,BAL 4,0,0,Ryan Tannehill sacked by Earl Thomas for -8 yards,5.340,3.100
1,3:42,3,12,BAL 12,6,0,"Ryan Tannehill pass complete short left to Jonnu Smith for 12 yards, touchdown",3.100,7.000
1,3:36,,,BAL 15,7,0,Greg Joseph kicks extra point good,0.000,0.000
1,3:36,,,TEN 35,7,0,"Greg Joseph kicks off 62 yards, returned by De'Anthony Thomas for 22 yards (tackle by Khari Blasingame and LeShaun Sims)",0.000,0.610
1,3:31,1,10,BAL 25,7,0,Mark Ingram right guard for 5 yards (tackle by Jurrell Casey),0.610,0.740
1,2:50,2,5,BAL 30,7,0,Lamar Jackson pass complete short middle to Willie Snead for 6 yards (tackle by David Long),0.740,1.330
1,2:06,1,10,BAL 36,7,0,Lamar Jackson right guard for 4 yards (tackle by Rashaan Evans),1.330,1.330
1,1:23,2,6,BAL 40,7,0,Mark Ingram left guard for 1 yard (tackle by Harold Landry),1.330,0.760
1,0:41,3,5,BAL 41,7,0,Lamar Jackson pass complete short left to Seth Roberts for 4 yards (tackle by Tramaine Brock),0.760,-0.390
Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
