Quarter,Time,Tm,Detail,TEN,BAL
1.0,3:36,Titans,Jonnu Smith 12 yard pass from Ryan Tannehill (Greg Joseph kick),7,0
2.0,14:45,Titans,Kalif Raymond 45 yard pass from Ryan Tannehill (Greg Joseph kick),14,0
,5:52,Ravens,Justin Tucker 49 yard field goal,14,3
,0:00,Ravens,Justin Tucker 22 yard field goal,14,6
3.0,6:54,Titans,Corey Davis 3 yard pass from Derrick Henry (Greg Joseph kick),21,6
,4:16,Titans,Ryan Tannehill 1 yard rush (Greg Joseph kick),28,6
4.0,11:04,Ravens,Hayden Hurst 15 yard pass from Lamar Jackson (pass failed),28,12
