Quarter,Time,Tm,Detail,KAN,LAC
1.0,4:56,Chiefs,Mike Edwards 97 yard fumble return (Harrison Butker kick),7,0
2.0,4:03,Chiefs,Harrison Butker 22 yard field goal,10,0
,2:43,Chargers,Cameron Dicker 49 yard field goal,10,3
,0:00,Chargers,Cameron Dicker 40 yard field goal,10,6
3.0,4:11,Chargers,Cameron Dicker 43 yard field goal,10,9
4.0,4:06,Chargers,Cameron Dicker 20 yard field goal,10,12
,0:49,Chiefs,Harrison Butker 41 yard field goal,13,12
