Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Mecole Hardman,KAN,11,6,77,0,4,29,4.8,48,8.0,7.5,3,2.0,2,18.2,1,38.8
La'Mical Perine,KAN,4,3,33,0,1,1,0.3,32,10.7,0.3,0,,1,25.0,0,99.0
Justyn Ross,KAN,4,2,17,0,1,12,6.0,5,2.5,14.8,0,,0,0.0,0,61.5
Richie James,KAN,2,2,15,0,,8,4.0,7,3.5,4.0,0,,0,0.0,0,97.9
Blake Bell,KAN,2,1,3,0,,-1,-1.0,4,4.0,6.0,0,,0,0.0,0,56.2
Clyde Edwards-Helaire,KAN,2,1,9,0,0,-4,-4.0,13,13.0,-5.5,0,,0,0.0,0,62.5
Justin Watson,KAN,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
Noah Gray,KAN,3,0,0,0,,0,,0,,2.0,0,,1,33.3,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Austin Ekeler,LAC,8,7,38,0,1,-22,-3.1,60,8.6,-2.6,1,7.0,1,12.5,0,86.5
Josh Palmer,LAC,10,6,44,0,4,19,3.2,25,4.2,9.2,0,,2,20.0,0,70.4
Donald Parham,LAC,6,5,83,0,5,43,8.6,40,8.0,7.7,0,,1,16.7,0,118.7
Alex Erickson,LAC,5,2,29,0,1,11,5.5,18,9.0,4.6,0,,1,20.0,0,59.6
Quentin Johnston,LAC,5,2,17,0,,0,0.0,17,8.5,12.2,0,,1,20.0,0,49.6
Stone Smartt,LAC,3,2,14,0,,11,5.5,3,1.5,10.3,0,,0,0.0,0,77.1
Gerald Everett,LAC,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3
Keelan Doss,LAC,5,1,8,0,,5,5.0,3,3.0,5.6,0,,0,0.0,0,39.6
Nick Vannett,LAC,1,1,3,0,1,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2
Derius Davis,LAC,1,1,18,0,0,3,3.0,15,15.0,3.0,0,,0,0.0,0,118.7
