Unnamed: 0,KAN,LAC
First Downs,12,22
Rush-Yds-TDs,28-123-0,30-118-0
Cmp-Att-Yd-TD-INT,15-30-154-0-1,28-47-258-0-0
Sacked-Yards,1-9,3-23
Net Pass Yards,145,235
Total Yards,268,353
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,3-57,1-5
Third Down Conv.,6-16,7-19
Fourth Down Conv.,1-1,2-3
Time of Possession,27:05,32:55
