Quarter,Time,Tm,Detail,OAK,NYG
1.0,14:07,Raiders,Terrelle Pryor 1 yard rush (Sebastian Janikowski kick),7,0
,9:22,Giants,Cooper Taylor 21 yard blocked punt return (Josh Brown kick),7,7
,3:21,Raiders,Sebastian Janikowski 33 yard field goal,10,7
2.0,7:36,Giants,Rueben Randle 5 yard pass from Eli Manning (Josh Brown kick),10,14
,1:18,Raiders,Tracy Porter 43 yard interception return (Sebastian Janikowski kick),17,14
3.0,6:56,Raiders,Sebastian Janikowski 24 yard field goal,20,14
,2:15,Giants,Andre Brown 1 yard rush (Josh Brown kick),20,21
4.0,8:04,Giants,Josh Brown 23 yard field goal,20,24
