Quarter,Time,Down,ToGo,Location,OAK,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 61 yards, returned by Jerrel Jernigan for 19 yards (tackle by Taiwan Jones). Jerrel Jernigan fumbles, recovered by Andre Holmes at NYG-27",0.000,6.060
1,14:52,1,5,NYG 5,0,0,Rashad Jennings up the middle for 4 yards (tackle by Justin Tuck and Antrel Rolle),6.060,5.910
1,14:14,2,1,NYG 1,6,0,"Terrelle Pryor up the middle for 1 yard, touchdown",5.910,7.000
1,14:14,,,NYG 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,14:14,,,OAK 35,7,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,14:07,1,10,NYG 20,7,0,Eli Manning pass incomplete short right intended for Victor Cruz,0.280,-0.270
1,13:59,2,10,NYG 20,7,0,Andre Brown right tackle for 7 yards (tackle by Sio Moore and Brandian Ross),-0.270,-0.030
1,13:21,3,3,NYG 27,7,0,Eli Manning sacked by Usama Young for -5 yards,-0.030,-1.900
1,12:48,4,8,NYG 22,7,0,Steve Weatherford punts 51 yards,-1.900,-0.740
1,12:36,1,10,OAK 27,7,0,Terrelle Pryor pass complete short right to Mychal Rivera for 16 yards (tackle by Antrel Rolle and Jon Beason),0.740,1.800
1,12:03,1,10,OAK 43,7,0,Terrelle Pryor right end for 1 yard (tackle by Justin Tuck),1.800,1.390
1,11:23,2,9,OAK 44,7,0,Terrelle Pryor right end for 9 yards (tackle by Trumaine McBride),1.390,2.460
1,10:56,1,10,NYG 47,7,0,"Terrelle Pryor pass complete short left to Rashad Jennings for 2 yards (tackle by Keith Rivers). Penalty on Khalif Barnes: Offensive Holding, 10 yards (no play)",2.460,1.800
1,10:30,1,20,OAK 43,7,0,Terrelle Pryor pass complete short left to Marcel Reece for 5 yards (tackle by Cullen Jenkins),1.800,1.240
1,9:48,2,15,OAK 48,7,0,Terrelle Pryor pass incomplete short middle intended for Denarius Moore (defended by Terrell Thomas),1.240,0.560
1,9:41,3,15,OAK 48,7,0,Terrelle Pryor pass incomplete short middle intended for Denarius Moore,0.560,-0.190
1,9:33,4,15,OAK 48,7,6,"Marquette King punts, blocked by Damontre Moore, recovered by Cooper Taylor and returned 21 yards, touchdown",-0.190,-7.000
1,9:22,,,OAK 2,7,7,Josh Brown kicks extra point good,0.000,0.000
1,9:22,,,NYG 35,7,7,"Josh Brown kicks off 71 yards, touchback",0.000,-0.280
1,9:22,1,10,OAK 20,7,7,Rashad Jennings left end for 7 yards (tackle by Antrel Rolle),0.280,0.680
1,8:58,2,3,OAK 27,7,7,Rashad Jennings right end for 8 yards (tackle by Linval Joseph and Keith Rivers),0.680,1.270
1,8:13,1,10,OAK 35,7,7,Terrelle Pryor pass incomplete deep right intended for Denarius Moore,1.270,0.720
1,8:07,2,10,OAK 35,7,7,"Penalty on Menelik Watson: False Start, 5 yards (no play)",0.720,0.050
1,8:07,2,15,OAK 30,7,7,Terrelle Pryor pass incomplete short right intended for Rashad Jennings,0.050,-0.630
1,8:02,3,15,OAK 30,7,7,Terrelle Pryor pass complete short right to Mychal Rivera for 6 yards (tackle by Trumaine McBride),-0.630,-0.980
1,7:24,4,9,OAK 36,7,7,"Marquette King punts 61 yards, returned by Rueben Randle for 12 yards (tackle by Jack Crawford)",-0.980,0.220
1,7:08,1,10,NYG 15,7,7,Eli Manning pass complete short right to Victor Cruz for 8 yards (tackle by Brandian Ross),-0.220,0.480
1,6:38,2,2,NYG 23,7,7,Andre Brown right guard for 7 yards (tackle by Sio Moore and Usama Young),0.480,0.940
1,6:05,1,10,NYG 30,7,7,Peyton Hillis right tackle for 1 yard (tackle by Pat Sims),0.940,0.530
1,5:20,2,9,NYG 31,7,7,"Eli Manning sacked by Sio Moore for -11 yards. Eli Manning fumbles (forced by Sio Moore), recovered by Eli Manning at NYG-20",0.530,-1.620
1,4:44,3,20,NYG 20,7,7,"Eli Manning pass complete short left to Peyton Hillis for no gain. Peyton Hillis fumbles (forced by Lamarr Houston), recovered by Lamarr Houston at NYG-21 (tackle by Peyton Hillis)",-1.620,-4.170
1,4:30,1,10,NYG 21,7,7,Terrelle Pryor sacked by Jason Pierre-Paul for -4 yards,4.170,3.090
1,3:59,2,14,NYG 25,7,7,Rashad Jennings right end for 10 yards (tackle by Linval Joseph and Will Hill),3.090,3.810
