Quarter,Time,Tm,Detail,MIN,ATL
1.0,7:44,Falcons,Alge Crumpler 5 yard pass from Michael Vick (Todd Peterson kick),0,7
2.0,12:55,Falcons,T.J. Duckett 1 yard rush (Todd Peterson kick),0,14
,3:40,Falcons,Warrick Dunn 37 yard rush (Todd Peterson kick),0,21
,0:01,Falcons,Todd Peterson 38 yard field goal,0,24
3.0,0:04,Falcons,Todd Peterson 26 yard field goal,0,27
4.0,8:13,Vikings,Paul Edinger 43 yard field goal,3,27
,5:24,Falcons,Todd Peterson 39 yard field goal,3,30
,2:33,Vikings,Troy Williamson 16 yard pass from Daunte Culpepper (Paul Edinger kick),10,30
