Quarter,Time,Down,ToGo,Location,CHI,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CHI 20,0,0,Matt Forte right guard for 5 yards (tackle by Jamie Collins),0.280,0.410
1,14:29,2,5,CHI 25,0,0,Matt Forte left guard for 4 yards (tackle by Patrick Chung),0.410,0.230
1,14:00,3,1,CHI 29,0,0,Matt Forte up the middle for 2 yards (tackle by Jamie Collins and Dominique Easley),0.230,1.000
1,13:17,1,10,CHI 31,0,0,Matt Forte left guard for 1 yard (tackle by Jamie Collins and Dont'a Hightower),1.000,0.600
1,12:42,2,9,CHI 32,0,0,"Matt Forte left end for 8 yards (tackle by Jamie Collins). Penalty on Martellus Bennett: Offensive Holding, 10 yards (no play)",0.600,-0.760
1,12:22,2,19,CHI 22,0,0,Jay Cutler pass incomplete deep left intended for Brandon Marshall,-0.760,-1.420
1,12:16,3,19,CHI 22,0,0,Jay Cutler pass incomplete short left intended for Matt Forte,-1.420,-1.900
1,12:12,4,19,CHI 22,0,0,"Pat O'Donnell punts 37 yards, returned by Danny Amendola for 4 yards (tackle by Brock Vereen)",-1.900,-1.930
1,12:03,1,10,NWE 45,0,0,Tom Brady pass complete short middle to Brandon LaFell for 19 yards (tackle by Tim Jennings and Kyle Fuller),1.930,3.180
1,11:30,1,10,CHI 36,0,0,Jonas Gray left guard for 19 yards (tackle by Kyle Fuller),3.180,4.440
1,10:52,1,10,CHI 17,0,0,Jonas Gray right tackle for 8 yards (tackle by D.J. Williams and Shea McClellin),4.440,5.290
1,10:20,2,2,CHI 9,0,0,Jonas Gray up the middle for 3 yards (tackle by Jay Ratliff and Christian Jones),5.290,5.830
1,9:51,1,6,CHI 6,0,6,"Tom Brady pass complete short left to Rob Gronkowski for 6 yards, touchdown",5.830,7.000
1,9:51,,,CHI 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,9:51,,,NWE 35,0,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,9:41,1,10,CHI 20,0,7,"Penalty on Matt Slauson: False Start, 5 yards (no play)",0.280,-0.310
1,9:41,1,15,CHI 15,0,7,Jay Cutler pass complete short left to Dante Rosario for 6 yards (tackle by Dont'a Hightower),-0.310,-0.130
1,9:14,2,9,CHI 21,0,7,Matt Forte right guard for 4 yards (tackle by Jamie Collins),-0.130,-0.300
1,8:33,3,5,CHI 25,0,7,Jay Cutler for 6 yards,-0.300,1.000
1,8:04,1,10,CHI 31,0,7,Jay Cutler pass incomplete short left intended for Matt Forte,1.000,0.460
1,7:59,2,10,CHI 31,0,7,Matt Forte left end for 4 yards (tackle by Patrick Chung),0.460,0.300
1,7:17,3,6,CHI 35,0,7,Jay Cutler pass incomplete short left intended for Martellus Bennett (defended by Brandon Browner),0.300,-1.040
1,7:13,4,6,CHI 35,0,7,Pat O'Donnell punts 38 yards,-1.040,-0.740
1,7:02,1,10,NWE 27,0,7,Tom Brady pass complete short left to Brandon LaFell for 12 yards (tackle by Kyle Fuller),0.740,1.530
1,6:46,1,10,NWE 39,0,7,Jonas Gray left tackle for 2 yards (tackle by Stephen Paea),1.530,1.260
1,6:11,2,8,NWE 41,0,7,Tom Brady pass complete short left to Brandon LaFell for 8 yards,1.260,2.190
1,5:52,1,10,NWE 49,0,7,Tom Brady pass incomplete short right intended for Shane Vereen,2.190,1.650
1,5:47,2,10,NWE 49,0,7,Shane Vereen right guard for 7 yards (tackle by Darryl Sharpton and Chris Conte),1.650,1.880
1,5:13,3,3,CHI 44,0,7,Tom Brady pass complete short right to Rob Gronkowski for 10 yards (tackle by Ryan Mundy and Christian Jones),1.880,3.310
1,4:41,1,10,CHI 34,0,7,Jonas Gray up the middle for 6 yards (tackle by Jared Allen and Lamarr Houston),3.310,3.580
1,4:11,2,4,CHI 28,0,7,Jonas Gray left guard for 5 yards (tackle by Jay Ratliff and D.J. Williams),3.580,4.040
1,3:38,1,10,CHI 23,0,7,Tom Brady pass complete short right to Shane Vereen for 7 yards (tackle by Darryl Sharpton),4.040,4.560
1,3:07,2,3,CHI 16,0,7,Jonas Gray up the middle for 3 yards (tackle by Christian Jones),4.560,4.710
1,2:34,1,10,CHI 13,0,7,Tom Brady pass complete short left to Brandon LaFell for 6 yards (tackle by Kyle Fuller and Shea McClellin),4.710,5.150
1,2:02,2,4,CHI 7,0,7,Jonas Gray right tackle for 1 yard (tackle by Willie Young and Ryan Mundy),5.150,4.560
1,1:20,3,3,CHI 6,0,7,Tom Brady pass complete short left to Shane Vereen for 4 yards (tackle by Shea McClellin),4.560,6.740
1,0:59,1,2,CHI 2,0,7,Shane Vereen left end for 1 yard (tackle by D.J. Williams),6.740,5.910
1,0:40,2,1,CHI 1,0,7,Tom Brady up the middle for no gain (tackle by Stephen Paea and Jay Ratliff),5.910,5.910
