Unnamed: 0,TEN,SDG
First Downs,9,27
Rush-Yds-TDs,10-38-0,39-148-2
Cmp-Att-Yd-TD-INT,15-30-174-1-1,24-32-284-3-1
Sacked-Yards,0-0,4-16
Net Pass Yards,174,268
Total Yards,212,416
Fumbles-Lost,0-0,3-0
Turnovers,1,1
Penalties-Yards,8-59,4-41
Third Down Conv.,1-9,10-17
Fourth Down Conv.,0-0,1-1
Time of Possession,16:21,43:39
