Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 64 yards, returned by LaRod Stephens-Howling for 13 yards (tackle by Garrett Wolfe)",0.000,0.150
1,14:54,1,10,ARI 19,0,0,Kurt Warner pass incomplete short left intended for Larry Fitzgerald (defended by Charles Tillman),0.150,-0.390
1,14:49,2,10,ARI 19,0,0,Kurt Warner pass incomplete short right intended for Larry Fitzgerald,-0.390,-1.070
1,14:46,3,10,ARI 19,0,0,Kurt Warner pass complete deep left to Steve Breaston for 23 yards (tackle by Zackary Bowman),-1.070,1.730
1,14:06,1,10,ARI 42,0,0,"Tim Hightower right tackle for 13 yards (tackle by Danieal Manning). Penalty on Tommie Harris: Disqualification, 15 yards",1.730,3.580
1,13:38,1,10,CHI 30,0,0,Kurt Warner pass complete short left to Larry Fitzgerald for 13 yards (tackle by Charles Tillman),3.580,4.440
1,13:21,1,10,CHI 17,0,0,Beanie Wells left end for 6 yards (tackle by Charles Tillman and Hunter Hillenmeyer),4.440,4.890
1,13:03,2,4,CHI 11,0,0,Tim Hightower right tackle for no gain (tackle by Jamar Williams and Adewale Ogunleye),4.890,4.100
1,12:19,3,4,CHI 11,6,0,"Kurt Warner pass complete short middle to Larry Fitzgerald for 11 yards, touchdown",4.100,7.000
1,,,,CHI 2,7,0,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,7,0,"Neil Rackers kicks off 71 yards, returned by Danieal Manning for 27 yards (tackle by Michael Adams). Penalty on Corey Graham: Offensive Holding, 10 yards",0.000,-0.380
1,12:07,1,10,CHI 10,7,0,Jay Cutler pass complete short left to Greg Olsen for 9 yards (tackle by Karlos Dansby),-0.380,0.240
1,11:30,2,1,CHI 19,7,0,Jay Cutler pass complete short left to Earl Bennett for 5 yards (tackle by Bryant McFadden),0.240,0.540
1,10:52,1,10,CHI 24,7,0,Jay Cutler pass complete deep right to Devin Hester for 42 yards (tackle by Dominique Rodgers-Cromartie),0.540,3.310
1,10:10,1,10,ARI 34,7,0,Jay Cutler pass incomplete short right intended for Earl Bennett,3.310,2.770
1,10:05,2,10,ARI 34,7,0,Jay Cutler pass complete short left to Earl Bennett for 1 yard (tackle by Ali Highsmith),2.770,2.210
1,9:21,3,9,ARI 33,7,6,"Jay Cutler pass complete deep middle to Greg Olsen for 33 yards, touchdown",2.210,7.000
1,,,,ARI 2,7,7,"Robbie Gould kicks extra point good. Penalty on Adrian Wilson: Encroachment, 5 yards",0.000,0.000
1,,,,CHI 35,7,7,"Robbie Gould kicks off 69 yards, returned by LaRod Stephens-Howling for 30 yards (tackle by Garrett Wolfe)",0.000,0.670
1,9:08,1,10,ARI 26,7,7,Kurt Warner pass complete short right to Larry Fitzgerald for 14 yards (tackle by Charles Tillman),0.670,1.600
1,8:30,1,10,ARI 40,7,7,Beanie Wells left end for 13 yards (tackle by Danieal Manning),1.600,2.460
1,7:33,1,10,CHI 47,7,7,Kurt Warner pass complete short left to Tim Hightower for 11 yards (tackle by Lance Briggs and Hunter Hillenmeyer),2.460,3.180
1,6:51,1,10,CHI 36,7,7,Kurt Warner right end for 3 yards (tackle by Alex Brown),3.180,3.040
1,6:08,2,7,CHI 33,7,7,Kurt Warner pass complete short right to Early Doucet for 11 yards (tackle by Zackary Bowman),3.040,4.110
1,5:29,1,10,CHI 22,7,7,Tim Hightower left end for 11 yards (tackle by Danieal Manning and Hunter Hillenmeyer),4.110,4.840
1,4:52,1,10,CHI 11,7,7,Beanie Wells right tackle for 5 yards (tackle by Lance Briggs),4.840,5.080
1,4:14,2,5,CHI 6,7,7,Kurt Warner pass complete short right to Early Doucet for no gain,5.080,4.210
1,3:31,3,5,CHI 6,13,7,"Kurt Warner pass complete short right to Ben Patrick for 6 yards, touchdown",4.210,7.000
1,,,,CHI 2,14,7,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,14,7,"Neil Rackers kicks off 74 yards, returned by Johnny Knox for 31 yards (tackle by Greg Toler)",0.000,0.740
1,3:20,1,10,CHI 27,14,7,Jay Cutler pass incomplete deep left intended for Devin Hester,0.740,0.200
1,3:14,2,10,CHI 27,14,7,Matt Forte right guard for 4 yards (tackle by Bryan Robinson),0.200,0.040
1,2:33,3,6,CHI 31,14,7,Jay Cutler pass complete short middle to Matt Forte for 13 yards (tackle by Adrian Wilson),0.040,1.860
1,1:53,1,10,CHI 44,14,7,Devin Hester right end for -10 yards (tackle by Clark Haggans),1.860,-0.030
1,1:09,2,20,CHI 34,14,7,Jay Cutler right end for 4 yards (tackle by Karlos Dansby),-0.030,-0.160
1,0:42,3,16,CHI 38,14,7,Jay Cutler pass complete short left to Matt Forte for 11 yards (tackle by Karlos Dansby),-0.160,-0.130
Quarter,Time,Down,ToGo,Location,ARI,CHI,Detail,EPB,EPA
