Unnamed: 0,ARI,CHI
First Downs,27,20
Rush-Yds-TDs,31-182-0,12-70-0
Cmp-Att-Yd-TD-INT,22-33-261-5-1,29-47-369-3-1
Sacked-Yards,1-5,4-22
Net Pass Yards,256,347
Total Yards,438,417
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,2-15,9-89
Third Down Conv.,8-14,5-13
Fourth Down Conv.,0-0,0-2
Time of Possession,33:16,26:44
