Quarter,Time,Tm,Detail,MIA,IND
1.0,9:43,Dolphins,Mike Wallace 18 yard pass from Ryan Tannehill (Caleb Sturgis kick),7,0
,4:07,Colts,Adam Vinatieri 30 yard field goal,7,3
,2:54,Dolphins,Lamar Miller 10 yard rush (Caleb Sturgis kick),14,3
2.0,13:01,Colts,Coby Fleener 3 yard pass from Andrew Luck (Adam Vinatieri kick),14,10
,1:26,Colts,Ahmad Bradshaw 1 yard rush (Adam Vinatieri kick),14,17
,0:00,Dolphins,Caleb Sturgis 54 yard field goal,17,17
3.0,11:35,Colts,Adam Vinatieri 38 yard field goal,17,20
,4:40,Dolphins,Charles Clay 1 yard rush (Caleb Sturgis kick),24,20
