Unnamed: 0,MIA,IND
First Downs,21,23
Rush-Yds-TDs,27-101-2,26-133-1
Cmp-Att-Yd-TD-INT,23-34-319-1-0,25-43-321-1-1
Sacked-Yards,5-22,3-6
Net Pass Yards,297,315
Total Yards,398,448
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,0-0,3-13
Third Down Conv.,6-14,7-15
Fourth Down Conv.,0-1,0-1
Time of Possession,29:26,30:34
