Unnamed: 0,DET,DAL
First Downs,15,22
Rush-Yds-TDs,14-39-0,41-127-1
Cmp-Att-Yd-TD-INT,19-32-255-2-1,19-24-235-3-3
Sacked-Yards,1-10,1-5
Net Pass Yards,245,230
Total Yards,284,357
Fumbles-Lost,0-0,0-0
Turnovers,1,3
Penalties-Yards,10-112,5-35
Third Down Conv.,3-9,9-15
Fourth Down Conv.,0-1,1-2
Time of Possession,21:17,38:43
