Quarter,Time,Tm,Detail,DET,DAL
1.0,11:02,Lions,Kevin Jones 1 yard pass from Joey Harrington (Jason Hanson kick),7,0
,1:07,Cowboys,Jason Witten 17 yard pass from Vinny Testaverde (Billy Cundiff kick),7,7
2.0,8:18,Lions,Dre' Bly 55 yard interception return (Jason Hanson kick),14,7
,1:54,Cowboys,Keyshawn Johnson 26 yard pass from Vinny Testaverde (Billy Cundiff kick),14,14
3.0,14:37,Cowboys,Vinny Testaverde 3 yard rush (Billy Cundiff kick),14,21
4.0,6:59,Cowboys,Billy Cundiff 40 yard field goal,14,24
,5:29,Lions,David Kircus 50 yard pass from Joey Harrington (Jason Hanson kick),21,24
,1:54,Cowboys,Keyshawn Johnson 38 yard pass from Vinny Testaverde (Billy Cundiff kick),21,31
