Quarter,Time,Tm,Detail,CLE,BAL
1.0,14:01,Ravens,Jamal Lewis 82 yard rush (Matt Stover kick),0,7
,1:57,Ravens,Matt Stover 20 yard field goal,0,10
2.0,6:32,Browns,Phil Dawson 44 yard field goal,3,10
,5:23,Ravens,Matt Stover 40 yard field goal,3,13
,1:06,Ravens,Wade Richey 56 yard field goal,3,16
3.0,4:54,Browns,Phil Dawson 35 yard field goal,6,16
,0:36,Browns,Kevin Johnson 4 yard pass from Kelly Holcomb (Phil Dawson kick),13,16
4.0,14:49,Ravens,Jamal Lewis 63 yard rush (Matt Stover kick),13,23
,1:58,Ravens,Matt Stover 21 yard field goal,13,26
,0:00,Ravens,Ed Reed 54 yard interception return (Matt Stover kick),13,33
