Unnamed: 0,IND,DAL
First Downs,17,25
Rush-Yds-TDs,10-1-0,40-127-1
Cmp-Att-Yd-TD-INT,30-44-235-1-2,19-21-261-5-0
Sacked-Yards,2-7,1-11
Net Pass Yards,228,250
Total Yards,229,377
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,8-55,7-67
Third Down Conv.,5-13,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,24:31,35:29
