Quarter,Time,Tm,Detail,IND,DAL
1.0,6:36,Cowboys,Terrance Williams 9 yard pass from Tony Romo (Dan Bailey kick),0,7
,4:23,Cowboys,Dez Bryant 19 yard pass from Tony Romo (Dan Bailey kick),0,14
2.0,14:11,Cowboys,Cole Beasley 24 yard pass from Tony Romo (Dan Bailey kick),0,21
,6:32,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),0,28
3.0,4:41,Cowboys,Jason Witten 25 yard pass from Tony Romo (Dan Bailey kick),0,35
4.0,10:12,Cowboys,Terrance Williams 43 yard pass from Brandon Weeden (Dan Bailey kick),0,42
,5:24,Colts,Zurlon Tipton 1 yard pass from Matt Hasselbeck (Adam Vinatieri kick),7,42
