Quarter,Time,Tm,Detail,CHI,LAR
2.0,11:31,Rams,Greg Zuerlein 38 yard field goal,0,3
,3:28,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),0,10
3.0,7:10,Bears,Tarik Cohen 14 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,10
4.0,3:31,Rams,Malcolm Brown 5 yard rush (Greg Zuerlein kick),7,17
