Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 72 yards, returned by Cordarrelle Patterson for 36 yards (tackle by David Long)",0.000,0.870
1,14:55,1,10,CHI 29,0,0,Tarik Cohen up the middle for 1 yard (tackle by Sebastian Joseph),0.870,0.460
1,14:32,2,9,CHI 30,0,0,Tarik Cohen left end for -1 yards (tackle by Nickell Robey-Coleman),0.460,-0.360
1,13:51,3,10,CHI 29,0,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 15 yards (tackle by Marqui Christian),-0.360,1.860
1,13:23,1,10,CHI 44,0,0,David Montgomery up the middle for 4 yards (tackle by Taylor Rapp),1.860,1.860
1,13:02,2,6,CHI 48,0,0,Mitchell Trubisky pass complete short right to David Montgomery for 19 yards (tackle by Troy Hill and Eric Weddle),1.860,3.380
1,12:35,1,10,LAR 33,0,0,David Montgomery up the middle for 3 yards (tackle by Samson Ebukam),3.380,3.240
1,12:12,2,7,LAR 30,0,0,Mitchell Trubisky pass incomplete short right intended for Anthony Miller,3.240,2.540
1,12:07,3,7,LAR 30,0,0,Mitchell Trubisky pass incomplete deep right,2.540,1.410
1,11:59,4,7,LAR 30,0,0,Eddy Pineiro 48 yard field goal no good,1.410,-1.470
1,11:54,1,10,LAR 38,0,0,"Todd Gurley right tackle for 5 yards (tackle by Eddie Jackson). Todd Gurley fumbles (forced by Eddie Jackson), recovered by Ha Ha Clinton-Dix at LA-47 and returned for 1 yard (tackle by Cooper Kupp)",1.470,-2.520
1,11:43,1,10,LAR 46,0,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 5 yards (tackle by Nickell Robey-Coleman),2.520,2.650
1,11:19,2,5,LAR 41,0,0,Mitchell Trubisky pass complete short left to Taylor Gabriel for 3 yards (tackle by Taylor Rapp),2.650,2.350
1,10:38,3,2,LAR 38,0,0,Mitchell Trubisky pass complete short right to Allen Robinson for 6 yards (tackle by Eric Weddle),2.350,3.450
1,10:03,1,10,LAR 32,0,0,David Montgomery up the middle for 1 yard (tackle by Clay Matthews and Aaron Donald),3.450,3.040
1,9:22,2,9,LAR 31,0,0,Mitchell Trubisky pass incomplete short left intended for Taylor Gabriel (defended by Troy Hill),3.040,2.340
1,9:19,3,9,LAR 31,0,0,Mitchell Trubisky pass incomplete short right,2.340,1.320
1,9:15,4,9,LAR 31,0,0,Mitchell Trubisky pass incomplete short left intended for Taylor Gabriel (defended by Jalen Ramsey),1.320,-1.000
1,9:09,1,10,LAR 31,0,0,Jared Goff pass incomplete short right,1.000,0.460
1,9:04,2,10,LAR 31,0,0,Todd Gurley right tackle for 13 yards (tackle by Ha Ha Clinton-Dix),0.460,1.860
1,8:27,1,10,LAR 44,0,0,Todd Gurley right tackle for 3 yards (tackle by Roquan Smith and Kyle Fuller),1.860,1.720
1,7:52,2,7,LAR 47,0,0,Jared Goff pass complete short left to Todd Gurley for 23 yards (tackle by Eddie Jackson),1.720,3.580
1,7:11,1,10,CHI 30,0,0,Todd Gurley right tackle for 3 yards (tackle by James Vaughters),3.580,3.440
1,6:25,2,7,CHI 27,0,0,Jared Goff pass short right intended for Josh Reynolds is intercepted by Roquan Smith at CHI-17 and returned for no gain,3.440,0.060
1,6:17,1,10,CHI 17,0,0,Mitchell Trubisky pass incomplete deep right intended for Anthony Miller (defended by Marqui Christian),-0.060,-0.580
1,6:12,2,10,CHI 17,0,0,David Montgomery up the middle for 1 yard (tackle by Sebastian Joseph),-0.580,-1.130
1,5:34,3,9,CHI 18,0,0,Mitchell Trubisky pass complete short right to Ben Braunecker for 8 yards (tackle by Nickell Robey-Coleman),-1.130,-1.630
1,4:53,4,1,CHI 26,0,0,"Pat O'Donnell punts 49 yards, returned by Jojo Natson for 5 yards (tackle by Nick Kwiatkoski). Penalty on Malcolm Brown: Defensive Offside, 5 yards (no play)",-1.630,1.000
1,4:43,1,10,CHI 31,0,0,David Montgomery left tackle for 1 yard (tackle by Michael Brockers and Samson Ebukam),1.000,0.600
1,4:06,2,9,CHI 32,0,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 6 yards (tackle by Troy Hill),0.600,0.700
1,3:21,3,3,CHI 38,0,0,Mitchell Trubisky pass complete short left to Tarik Cohen for 17 yards (tackle by Jalen Ramsey),0.700,2.590
1,2:47,1,10,LAR 45,0,0,David Montgomery left end for 1 yard (tackle by Aaron Donald),2.590,2.180
1,2:02,2,9,LAR 44,0,0,Mitchell Trubisky pass complete short left to Javon Wims for 11 yards (tackle by Troy Hill),2.180,3.380
1,1:37,1,10,LAR 33,0,0,Mitchell Trubisky left end for 4 yards (tackle by Samson Ebukam),3.380,3.380
1,1:11,2,6,LAR 29,0,0,Mitchell Trubisky pass incomplete short middle intended for Taylor Gabriel (defended by Samson Ebukam),3.380,2.680
1,1:08,3,6,LAR 29,0,0,Mitchell Trubisky pass incomplete short right intended for Javon Wims (defended by Nickell Robey-Coleman),2.680,1.520
1,1:02,4,6,LAR 29,0,0,Eddy Pineiro 47 yard field goal no good,1.520,-1.400
1,0:57,1,10,LAR 37,0,0,Todd Gurley right guard for 10 yards (tackle by Prince Amukamara and Ha Ha Clinton-Dix),1.400,2.060
1,0:26,1,10,LAR 47,0,0,Todd Gurley up the middle for 9 yards (tackle by Roquan Smith),2.060,2.730
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,CHI 44,0,0,Todd Gurley up the middle for 4 yards (tackle by Roquan Smith),2.730,2.920
2,14:20,1,10,CHI 40,0,0,Todd Gurley left end for 11 yards (tackle by Ha Ha Clinton-Dix),2.920,3.640
2,13:42,1,10,CHI 29,0,0,Josh Reynolds right end for -5 yards (tackle by Eddie Jackson),3.640,2.420
2,12:55,2,15,CHI 34,0,0,Jared Goff pass complete short left to Mike Thomas for 9 yards (tackle by Roy Robertson-Harris),2.420,2.940
2,12:24,3,6,CHI 25,0,0,Jared Goff left tackle for 5 yards (tackle by Ha Ha Clinton-Dix and Roquan Smith),2.940,2.270
2,11:38,4,1,CHI 20,0,3,Greg Zuerlein 38 yard field goal good,2.270,3.000
2,11:31,,,LAR 35,0,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,11:31,1,10,CHI 25,0,3,Mitchell Trubisky pass complete short right to Tarik Cohen for no gain,0.610,0.060
2,10:58,2,10,CHI 25,0,3,David Montgomery right guard for 5 yards (tackle by Morgan Fox and Clay Matthews),0.060,0.040
2,10:20,3,5,CHI 30,0,3,Mitchell Trubisky pass incomplete deep right intended for Tarik Cohen,0.040,-1.370
2,10:14,4,5,CHI 30,0,3,"Pat O'Donnell punts 48 yards, fair catch by Jojo Natson at LA-22. Penalty on Ogbonnia Okoronkwo: Running Into the Kicker (Declined)",-1.370,-0.410
2,10:05,1,10,LAR 22,0,3,Todd Gurley up the middle for 1 yard (tackle by Eddie Goldman and Roy Robertson-Harris),0.410,0.000
2,9:26,2,9,LAR 23,0,3,Jared Goff pass complete short left to Todd Gurley for 7 yards (tackle by Leonard Floyd and Eddie Goldman),0.000,0.230
2,8:41,3,2,LAR 30,0,3,Todd Gurley right tackle for 1 yard (tackle by Roquan Smith and Eddie Jackson),0.230,-1.310
2,7:55,4,1,LAR 31,0,3,Johnny Hekker punts 40 yards out of bounds,-1.310,-0.870
2,7:47,1,10,CHI 29,0,3,David Montgomery right end for 5 yards (tackle by Michael Brockers),0.870,1.000
2,7:06,2,5,CHI 34,0,3,David Montgomery right guard for 3 yards (tackle by Michael Brockers and Cory Littleton),1.000,0.700
2,6:21,3,2,CHI 37,0,3,Mitchell Trubisky pass complete short middle to Anthony Miller for 9 yards (tackle by Jalen Ramsey),0.700,1.990
2,5:35,1,10,CHI 46,0,3,Mitchell Trubisky pass incomplete deep right intended for Ben Braunecker,1.990,1.450
2,5:29,2,10,CHI 46,0,3,Mitchell Trubisky pass deep left intended for Anthony Miller is intercepted by Troy Hill at LA-38 and returned for 6 yards. Penalty on Anthony Miller: Offensive Pass Interference (Declined),1.450,-1.860
2,5:23,1,10,LAR 44,0,3,Malcolm Brown left tackle for 6 yards (tackle by Nick Kwiatkoski),1.860,2.130
2,4:51,2,4,LAR 50,0,3,Malcolm Brown right tackle for 3 yards (tackle by Roquan Smith),2.130,1.820
2,4:17,3,1,CHI 47,0,3,"Penalty on Cooper Kupp: False Start, 4 yards (no play)",1.820,1.290
2,3:51,3,5,LAR 49,0,3,"Jared Goff pass complete deep left to Cooper Kupp for 50 yards (tackle by Buster Skrine). Cooper Kupp fumbles, ball out of bounds at CHI-1 (forced by Buster Skrine)",1.290,6.970
2,3:33,1,1,CHI 1,0,9,"Todd Gurley up the middle for 1 yard, touchdown",6.970,7.000
2,3:28,,,CHI 15,0,10,Greg Zuerlein kicks extra point good,0.000,0.000
2,3:28,,,LAR 35,0,10,"Greg Zuerlein kicks off 49 yards, returned by J.P. Holtz for 16 yards (tackle by Nick Scott)",0.000,1.070
2,3:22,1,10,CHI 32,0,10,Tarik Cohen left end for 9 yards (tackle by Taylor Rapp),1.070,1.740
2,3:00,2,1,CHI 41,0,10,Tarik Cohen up the middle for 4 yards (tackle by Michael Brockers and Sebastian Joseph),1.740,1.930
2,2:35,1,10,CHI 45,0,10,Tarik Cohen up the middle for -1 yards (tackle by Taylor Rapp),1.930,1.250
2,2:00,2,11,CHI 44,0,10,"Mitchell Trubisky pass complete short right to Tarik Cohen for 7 yards (tackle by Marqui Christian and Eric Weddle). Penalty on Dante Fowler: Defensive Offside, 5 yards (no play)",1.250,1.920
2,1:54,2,6,CHI 49,0,10,Tarik Cohen up the middle for 12 yards (tackle by Eric Weddle and Cory Littleton),1.920,2.980
2,1:23,1,10,LAR 39,0,10,Mitchell Trubisky pass incomplete short middle intended for Ben Braunecker (defended by Taylor Rapp),2.980,2.440
2,1:20,2,10,LAR 39,0,10,Mitchell Trubisky pass complete short right to Allen Robinson for 2 yards (tackle by Jalen Ramsey),2.440,2.020
2,0:39,3,8,LAR 37,0,10,Mitchell Trubisky sacked by Troy Hill for -2 yards,2.020,0.660
2,0:27,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:27,4,10,LAR 39,0,10,Pat O'Donnell punts 31 yards downed by Patrick Scales,0.660,0.380
2,0:18,1,10,LAR 8,0,10,Todd Gurley up the middle for 3 yards (tackle by Nick Kwiatkoski and Roy Robertson-Harris),-0.380,-0.560
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
