Quarter,Time,Tm,Detail,PHI,DAL
1.0,11:55,Eagles,Mark Sanchez 2 yard rush (Cody Parkey kick),7,0
,4:08,Eagles,Jordan Matthews 27 yard pass from Mark Sanchez (Cody Parkey kick),14,0
2.0,14:56,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),14,7
,12:10,Eagles,Cody Parkey 31 yard field goal,17,7
,1:35,Eagles,Cody Parkey 22 yard field goal,20,7
,0:21,Eagles,Cody Parkey 26 yard field goal,23,7
3.0,9:12,Cowboys,Dan Bailey 28 yard field goal,23,10
,7:20,Eagles,LeSean McCoy 38 yard rush (Cody Parkey kick),30,10
4.0,11:01,Eagles,Cody Parkey 25 yard field goal,33,10
