Unnamed: 0,NWE,LAC
First Downs,22,17
Rush-Yds-TDs,43-165-2,15-70-0
Cmp-Att-Yd-TD-INT,14-22-130-2-0,26-53-209-0-2
Sacked-Yards,1-4,3-21
Net Pass Yards,126,188
Total Yards,291,258
Fumbles-Lost,2-0,0-0
Turnovers,0,2
Penalties-Yards,3-15,5-30
Third Down Conv.,6-14,7-18
Fourth Down Conv.,1-1,1-5
Time of Possession,33:41,26:19
