Quarter,Time,Tm,Detail,NWE,LAC
1.0,7:50,Patriots,Cam Newton 1 yard rush (Nick Folk kick),7,0
2.0,14:02,Patriots,Gunner Olszewski 70 yard punt return (Nick Folk kick),14,0
,0:51,Patriots,Cam Newton 2 yard rush (Nick Folk kick),21,0
,0:00,Patriots,Devin McCourty 44 yard blocked field goal return (Nick Folk kick),28,0
3.0,8:44,Patriots,N'Keal Harry 5 yard pass from Cam Newton (Nick Folk kick),35,0
4.0,11:21,Patriots,Nick Folk 32 yard field goal,38,0
,6:50,Patriots,Gunner Olszewski 38 yard pass from Jarrett Stidham (Nick Folk kick),45,0
