Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,DeAngelo Williams right tackle for 18 yards (tackle by Dont'a Hightower),0.280,1.470
1,14:21,1,10,PIT 38,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by Dont'a Hightower),1.470,2.140
1,14:04,2,1,PIT 47,0,0,DeAngelo Williams right guard for 4 yards (tackle by Jamie Collins and Malcom Brown),2.140,2.320
1,13:26,1,10,NWE 49,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 14 yards (tackle by Jerod Mayo),2.320,3.250
1,12:42,1,10,NWE 35,0,0,DeAngelo Williams right guard for 11 yards (tackle by Jamie Collins),3.250,3.970
1,12:05,1,10,NWE 24,0,0,Antonio Brown sacked by Malcom Brown for -8 yards,3.970,2.350
1,11:20,2,18,NWE 32,0,0,"DeAngelo Williams right end for 4 yards (tackle by Dont'a Hightower). Penalty on Marcus Gilbert: Offensive Holding, 10 yards (no play)",2.350,1.000
1,10:53,2,28,NWE 42,0,0,Will Johnson right guard for 6 yards (tackle by Rob Ninkovich),1.000,1.160
1,10:28,3,22,NWE 36,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 10 yards (tackle by Patrick Chung and Malcolm Butler),1.160,1.740
1,9:44,4,12,NWE 26,0,0,Josh Scobee 44 yard field goal no good,1.740,-1.200
1,9:40,1,10,NWE 34,0,0,"Tom Brady pass complete short left to Julian Edelman for 13 yards (tackle by William Gay). Penalty on Nate Solder: Unnecessary Roughness, 15 yards",1.200,1.070
1,9:14,1,10,NWE 32,0,0,Tom Brady pass complete short left to Dion Lewis for 12 yards (tackle by James Harrison),1.070,1.860
1,9:00,1,10,NWE 44,0,0,Tom Brady pass complete short left to Dion Lewis for 13 yards,1.860,2.720
1,8:31,1,10,PIT 43,0,0,Tom Brady pass incomplete short right intended for Rob Gronkowski,2.720,2.180
1,8:27,2,10,PIT 43,0,0,Tom Brady pass incomplete deep right intended for Danny Amendola,2.180,1.490
1,8:22,3,10,PIT 43,0,0,Tom Brady sacked by Bud Dupree for 0 yards,1.490,0.400
1,7:48,4,10,PIT 43,0,0,"Ryan Allen punts 36 yards, fair catch by Antonio Brown",0.400,0.380
1,7:41,1,10,PIT 7,0,0,DeAngelo Williams left guard for 6 yards (tackle by Alan Branch and Geneo Grissom),-0.380,-0.340
1,7:07,2,4,PIT 13,0,0,DeAngelo Williams left tackle for -1 yards (tackle by Chandler Jones),-0.340,-0.840
1,6:26,3,5,PIT 12,0,0,Ben Roethlisberger pass complete short left to Antonio Brown for 10 yards (tackle by Devin McCourty),-0.840,0.410
1,5:54,1,10,PIT 22,0,0,"DeAngelo Williams right guard for 4 yards (tackle by Rob Ninkovich). Penalty on Kelvin Beachum: Illegal Formation, 5 yards (no play)",0.410,-0.120
1,5:29,1,15,PIT 17,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 3 yards (tackle by Jamie Collins),-0.120,-0.400
1,4:48,2,12,PIT 20,0,0,Ben Roethlisberger sacked by Dont'a Hightower for -6 yards,-0.400,-2.240
1,4:03,3,18,PIT 14,0,0,Ben Roethlisberger pass complete deep left to Heath Miller for 17 yards (tackle by Devin McCourty and Tarell Brown),-2.240,-1.310
