Unnamed: 0,PIT,NWE
First Downs,23,26
Rush-Yds-TDs,25-134-1,24-80-0
Cmp-Att-Yd-TD-INT,26-38-351-1-1,25-32-288-4-0
Sacked-Yards,3-21,2-7
Net Pass Yards,330,281
Total Yards,464,361
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,8-77,7-64
Third Down Conv.,7-15,7-11
Fourth Down Conv.,2-2,0-0
Time of Possession,32:05,27:55
