Unnamed: 0,LAR,ARI
First Downs,15,23
Rush-Yds-TDs,20-100-2,21-70-0
Cmp-Att-Yd-TD-INT,18-25-249-0-0,37-58-314-0-0
Sacked-Yards,1-10,2-19
Net Pass Yards,239,295
Total Yards,339,365
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,6-35,6-50
Third Down Conv.,3-8,6-18
Fourth Down Conv.,0-0,4-5
Time of Possession,26:04,33:56
