Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Kyler Murray pass complete short right to Zach Ertz for 6 yards (tackle by Nick Scott),0.610,0.870
1,14:28,2,4,ARI 31,0,0,James Conner up the middle for 2 yards (tackle by A'Shawn Robinson),0.870,0.430
1,13:46,3,2,ARI 33,0,0,Kyler Murray pass incomplete short right intended for A.J. Green (defended by Jalen Ramsey),0.430,-1.180
1,13:42,4,2,ARI 33,0,0,"Andy Lee punts 3 yards, returned by Jake Gervase for 1 yard (tackle by Aaron Brewer and Stephen Anderson)",-1.180,-3.250
1,13:34,1,10,ARI 35,0,0,"Darrell Henderson up the middle for no gain (tackle by Marco Wilson). Penalty on Joseph Noteboom: Offensive Holding, 10 yards (accepted) (no play)",3.250,2.590
1,13:04,1,20,ARI 45,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Jalen Thompson),2.590,2.570
1,12:21,2,11,ARI 36,0,0,Matthew Stafford pass complete short right to Brandon Powell for 16 yards (tackle by Budda Baker),2.570,4.240
1,11:39,1,10,ARI 20,0,0,Darrell Henderson up the middle for 6 yards (tackle by Jalen Thompson and Byron Murphy),4.240,4.640
1,10:58,2,4,ARI 14,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 10 yards (tackle by Budda Baker),4.640,6.280
1,10:19,1,4,ARI 4,0,0,Matthew Stafford pass complete short middle to Brandon Powell for no gain (tackle by Zaven Collins),6.280,5.340
1,9:55,2,4,ARI 4,0,0,Matthew Stafford pass incomplete short left intended for Allen Robinson,5.340,4.490
1,9:54,3,4,ARI 4,0,0,Matthew Stafford pass incomplete short right intended for Allen Robinson,4.490,3.030
1,9:49,4,4,ARI 4,3,0,Matt Gay 22 yard field goal good,3.030,3.000
1,9:45,,,LAR 35,3,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,9:45,1,10,ARI 25,3,0,James Conner up the middle for 2 yards (tackle by Bobby Wagner),0.610,0.330
1,9:11,2,8,ARI 27,3,0,Kyler Murray pass incomplete short right intended for Greg Dortch,0.330,-0.360
1,9:09,3,8,ARI 27,3,0,Kyler Murray pass incomplete short right,-0.360,-1.570
1,9:02,4,8,ARI 27,3,0,"Andy Lee punts 53 yards, returned by Brandon Powell for 22 yards (tackle by Aaron Brewer)",-1.570,-1.730
1,8:50,1,10,LAR 42,3,0,Cam Akers left end for -1 yards (tackle by Ben Niemann),1.730,1.050
1,8:23,2,11,LAR 41,3,0,Matthew Stafford pass complete short middle to Cooper Kupp for 14 yards (tackle by Budda Baker),1.050,2.590
1,7:31,1,10,ARI 45,3,0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",2.590,2.260
1,7:11,,,,,,Timeout #1 by Los Angeles Rams,,
1,7:11,1,15,ARI 50,3,0,Matthew Stafford pass complete short left to Tyler Higbee for 19 yards (tackle by Zaven Collins),2.260,3.510
1,6:24,1,10,ARI 31,3,0,Cam Akers right end for no gain (tackle by Budda Baker),3.510,2.970
