Quarter,Time,Tm,Detail,LAR,ARI
1.0,9:45,Rams,Matt Gay 22 yard field goal,3,0
,4:00,Rams,Cooper Kupp 20 yard rush (Matt Gay kick),10,0
2.0,13:23,Rams,Matt Gay 40 yard field goal,13,0
,1:51,Cardinals,Matt Prater 23 yard field goal,13,3
,0:02,Cardinals,Matt Prater 43 yard field goal,13,6
3.0,5:10,Cardinals,Matt Prater 49 yard field goal,13,9
,1:00,Rams,Cam Akers 14 yard rush (Matt Gay kick),20,9
4.0,1:07,Cardinals,Matt Prater 31 yard field goal,20,12
