Unnamed: 0,DET,HOU
First Downs,15,29
Rush-Yds-TDs,19-77-1,34-150-2
Cmp-Att-Yd-TD-INT,12-25-265-1-0,26-31-267-2-0
Sacked-Yards,2-16,3-13
Net Pass Yards,249,254
Total Yards,326,404
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,4-31,5-41
Third Down Conv.,5-11,6-11
Fourth Down Conv.,0-0,1-1
Time of Possession,19:56,40:04
