Unnamed: 0,PHI,SFO
First Downs,19,24
Rush-Yds-TDs,31-107-1,18-104-0
Cmp-Att-Yd-TD-INT,21-29-244-3-0,36-63-337-2-0
Sacked-Yards,1-8,4-32
Net Pass Yards,236,305
Total Yards,343,409
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,5-41,9-86
Third Down Conv.,4-11,9-20
Fourth Down Conv.,0-0,1-4
Time of Possession,27:38,32:22
