Quarter,Time,Tm,Detail,PHI,SFO
2.0,13:45,Eagles,Todd Pinkston 25 yard pass from Koy Detmer (David Akers kick),7,0
,10:19,Eagles,Brian Mitchell 76 yard punt return (David Akers kick),14,0
,6:16,49ers,Terrell Owens 3 yard pass from Jeff Garcia (Jeff Chandler kick),14,7
,0:55,Eagles,Antonio Freeman 11 yard pass from Koy Detmer (David Akers kick),21,7
3.0,9:04,49ers,Jeff Chandler 35 yard field goal,21,10
,5:39,Eagles,Koy Detmer 1 yard rush (David Akers kick),28,10
,2:41,Eagles,Chad Lewis 1 yard pass from A.J. Feeley (David Akers kick),35,10
,1:01,49ers,Terrell Owens 18 yard pass from Jeff Garcia (Jeff Chandler kick),35,17
4.0,14:37,Eagles,David Akers 43 yard field goal,38,17
