Quarter,Time,Tm,Detail,HOU,TAM
1.0,14:48,Texans,Jacoby Jones 80 yard pass from Matt Schaub (Neil Rackers kick failed),6,0
,4:29,Texans,Neil Rackers 22 yard field goal,9,0
2.0,8:55,Texans,Arian Foster 78 yard pass from Matt Schaub (Neil Rackers kick),16,0
,0:00,Buccaneers,Connor Barth 55 yard field goal,16,3
3.0,8:10,Texans,Arian Foster 5 yard rush (Neil Rackers kick),23,3
,2:03,Texans,Derrick Ward 4 yard rush (Neil Rackers kick),30,3
4.0,11:17,Buccaneers,Preston Parker 9 yard pass from Josh Freeman (pass failed),30,9
,5:38,Texans,Ben Tate 11 yard rush (Neil Rackers kick),37,9
