Quarter,Time,Tm,Detail,CAR,WAS
1.0,3:30,Panthers,John Kasay 42 yard field goal,3,0
2.0,4:35,Redskins,Nick Novak 42 yard field goal,3,3
,0:00,Panthers,John Kasay 51 yard field goal,6,3
3.0,0:02,Redskins,Antwaan Randle El 4 yard pass from Jason Campbell (Nick Novak kick),6,10
4.0,7:55,Panthers,Steve Smith Sr. 8 yard pass from Jake Delhomme (John Kasay kick),13,10
,4:26,Redskins,Chris Cooley 66 yard pass from Jason Campbell (Nick Novak kick),13,17
