Unnamed: 0,CAR,WAS
First Downs,15,14
Rush-Yds-TDs,25-101-0,37-143-0
Cmp-Att-Yd-TD-INT,23-38-168-1-2,11-23-118-2-1
Sacked-Yards,1-5,1-8
Net Pass Yards,163,110
Total Yards,264,253
Fumbles-Lost,0-0,3-0
Turnovers,2,1
Penalties-Yards,4-40,6-40
Third Down Conv.,6-16,4-15
Fourth Down Conv.,0-1,0-0
Time of Possession,30:46,29:14
