Unnamed: 0,DAL,CIN
First Downs,13,15
Rush-Yds-TDs,27-109-0,31-116-1
Cmp-Att-Yd-TD-INT,18-30-207-0-3,21-32-212-1-0
Sacked-Yards,1-5,0-0
Net Pass Yards,202,212
Total Yards,311,328
Fumbles-Lost,2-2,0-0
Turnovers,5,0
Penalties-Yards,7-46,4-20
Third Down Conv.,3-11,8-17
Fourth Down Conv.,0-1,0-0
Time of Possession,26:43,33:17
