Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 68 yards, returned by ReShard Lee for 20 yards (tackle by Kevin Walter)",0.000,0.410
1,14:55,1,10,DAL 22,0,0,Vinny Testaverde pass complete to Eddie George for 3 yards (tackle by Brian Simmons),0.410,0.270
1,14:18,2,7,DAL 25,0,0,Eddie George left tackle for 3 yards (tackle by Justin Smith),0.270,-0.030
1,13:37,3,4,DAL 28,0,0,Vinny Testaverde pass complete to Jason Witten for 25 yards,-0.030,2.460
1,13:08,1,10,CIN 47,0,0,Eddie George left guard for 4 yards (tackle by Rogers Beckett),2.460,2.450
1,12:30,2,6,CIN 43,0,0,Richie Anderson up the middle for 12 yards (tackle by Rogers Beckett),2.450,3.510
1,11:49,1,10,CIN 31,0,0,Eddie George right end for 5 yards (tackle by Brian Simmons),3.510,3.640
1,11:07,2,5,CIN 26,0,0,Richie Anderson right tackle for 3 yards (tackle by Landon Johnson),3.640,3.340
1,10:30,3,2,CIN 23,0,0,"Richie Anderson left end for no gain, lateral to ReShard Lee for 1 yard (tackle by Deltha O'Neal)",3.340,2.140
1,10:01,4,1,CIN 22,0,0,Vinny Testaverde up the middle for no gain,2.140,-0.410
1,9:56,1,10,CIN 22,0,0,Carson Palmer pass complete to Reggie Kelly for 5 yards (tackle by Alshermond Singleton),0.410,0.540
1,9:23,2,5,CIN 27,0,0,Rudi Johnson right guard for 1 yard (tackle by Roy Williams),0.540,-0.030
1,8:44,3,4,CIN 28,0,0,Carson Palmer pass incomplete intended for Chad Ochocinco (defended by Lance Frazier),-0.030,-1.500
1,8:39,4,4,CIN 28,0,0,"Kyle Larson punts 47 yards, returned by Lance Frazier for 11 yards (tackle by Tony Stewart)",-1.500,-1.330
1,8:29,1,10,DAL 36,0,0,Eddie George left guard for 2 yards (tackle by Kevin Hardy and Duane Clemons),1.330,1.060
1,7:45,2,8,DAL 38,0,0,Richie Anderson right end for 3 yards (tackle by John Thornton and Justin Smith),1.060,0.760
1,7:04,3,5,DAL 41,0,0,"Vinny Testaverde sacked by Robert Geathers for -5 yards. Vinny Testaverde fumbles (forced by Robert Geathers), recovered by Anthony Mitchell at DAL-36 (tackle by Flozell Adams)",0.760,-3.180
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
1,6:57,1,10,DAL 36,0,0,Rudi Johnson right guard for 4 yards (tackle by Dat Nguyen),3.180,3.180
1,6:22,2,6,DAL 32,0,0,Rudi Johnson left guard for 8 yards (tackle by Dexter Coakley),3.180,3.970
1,5:43,1,10,DAL 24,0,0,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh (defended by Terence Newman),3.970,3.430
1,5:36,2,10,DAL 24,0,0,Rudi Johnson left guard for -1 yards (tackle by Marcellus Wiley),3.430,2.610
1,4:53,3,11,DAL 25,0,0,Carson Palmer pass complete to T.J. Houshmandzadeh for 8 yards (tackle by Nate Jones),2.610,2.410
1,4:11,4,3,DAL 17,0,3,Shayne Graham 35 yard field goal good,2.410,3.000
1,,,,CIN 30,0,3,"Shayne Graham kicks off 59 yards, returned by ReShard Lee for 24 yards (tackle by Reggie Myles)",0.000,1.270
1,4:01,1,10,DAL 35,0,3,Vinny Testaverde pass incomplete intended for Randal Williams,1.270,0.720
1,3:58,2,10,DAL 35,0,3,Richie Anderson right guard for 2 yards (tackle by Kevin Hardy),0.720,0.300
1,3:16,3,8,DAL 37,0,3,Vinny Testaverde pass complete to Richie Anderson for -1 yards (tackle by Duane Clemons),0.300,-0.980
1,2:42,4,9,DAL 36,0,3,"Mat McBriar punts 52 yards, returned by T.J. Houshmandzadeh for 28 yards (tackle by Keith O'Neil)",-0.980,-1.600
1,2:26,1,10,CIN 40,0,3,Carson Palmer pass complete to Chad Ochocinco for 8 yards (tackle by Lance Frazier),1.600,2.130
1,1:48,2,2,CIN 48,0,3,"Penalty on Levi Jones: False Start, 5 yards (no play)",2.130,1.460
1,1:35,2,7,CIN 43,0,3,Carson Palmer pass complete to Rudi Johnson for 8 yards (tackle by Alshermond Singleton),1.460,2.320
1,0:59,1,10,DAL 49,0,3,Kenny Watson left end for 9 yards (tackle by Roy Williams),2.320,3.000
1,0:25,2,1,DAL 40,0,3,Rudi Johnson right guard for 2 yards (tackle by Bradie James),3.000,3.050
Quarter,Time,Down,ToGo,Location,DAL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 38,0,3,Carson Palmer pass complete to Rudi Johnson for 2 yards (tackle by Greg Ellis),3.050,2.780
2,14:24,2,8,DAL 36,0,3,Rudi Johnson right tackle for 5 yards (tackle by Terence Newman),2.780,2.740
2,13:48,3,3,DAL 31,0,3,Kenny Watson left end for 1 yard (tackle by Dat Nguyen),2.740,1.500
2,13:06,4,2,DAL 30,0,6,Shayne Graham 47 yard field goal good,1.500,3.000
2,,,,CIN 30,0,6,"Shayne Graham kicks off 64 yards, returned by Terrance Copper for 19 yards (tackle by Reggie Myles)",0.000,0.610
2,12:57,1,10,DAL 25,0,6,Vinny Testaverde up the middle for 8 yards (tackle by Madieu Williams),0.610,1.140
2,12:17,2,2,DAL 33,0,6,Eddie George right guard for 4 yards (tackle by Kevin Hardy),1.140,1.400
2,11:39,1,10,DAL 37,0,6,Eddie George right tackle for 2 yards (tackle by Justin Smith),1.400,1.130
2,11:01,2,8,DAL 39,0,6,"Vinny Testaverde pass complete to Keyshawn Johnson for 8 yards (tackle by Tory James). Keyshawn Johnson fumbles (forced by Tory James), recovered by Brian Simmons at DAL-47 and returned for 18 yards (tackle by Jason Witten)",1.130,-3.640
2,10:48,1,10,DAL 29,0,6,Carson Palmer pass complete to Rudi Johnson for 2 yards (tackle by Alshermond Singleton),3.640,3.370
2,10:12,2,8,DAL 27,0,6,Carson Palmer pass incomplete intended for Kelley Washington,3.370,2.680
2,10:08,3,8,DAL 27,0,6,Carson Palmer pass incomplete intended for Kelley Washington (defended by Terence Newman),2.680,1.670
2,10:03,4,8,DAL 27,0,9,Shayne Graham 45 yard field goal good,1.670,3.000
2,,,,CIN 30,0,9,"Shayne Graham kicks off 62 yards, returned by Terrance Copper for 18 yards (tackle by Larry Stevens)",0.000,0.670
2,9:52,1,10,DAL 26,0,9,Vinny Testaverde pass incomplete intended for Eddie George,0.670,0.130
2,9:47,2,10,DAL 26,0,9,Vinny Testaverde pass incomplete intended for Keyshawn Johnson is intercepted by Tory James at CIN-41,0.130,-1.660
2,9:40,1,10,CIN 41,0,9,Rudi Johnson up the middle for -1 yards (tackle by Dat Nguyen),1.660,0.990
2,9:01,2,11,CIN 40,0,9,Carson Palmer pass complete to Rudi Johnson for 7 yards (tackle by Lance Frazier),0.990,1.220
2,8:22,3,4,CIN 47,0,9,Carson Palmer pass incomplete intended for Tony Stewart (defended by Tony Dixon),1.220,-0.260
