Unnamed: 0,DAL,NYG
First Downs,16,17
Rush-Yds-TDs,27-81-0,34-127-1
Cmp-Att-Yd-TD-INT,15-39-146-1-2,12-31-152-0-2
Sacked-Yards,4-21,1-2
Net Pass Yards,125,150
Total Yards,206,277
Fumbles-Lost,2-2,0-0
Turnovers,4,2
Penalties-Yards,7-46,6-44
Third Down Conv.,4-16,4-15
Fourth Down Conv.,1-1,0-1
Time of Possession,28:29,31:31
