Unnamed: 0,STL,SEA
First Downs,22,21
Rush-Yds-TDs,21-75-0,36-174-3
Cmp-Att-Yd-TD-INT,28-40-304-1-1,17-29-243-1-2
Sacked-Yards,3-26,0-0
Net Pass Yards,278,243
Total Yards,353,417
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,8-49,3-69
Third Down Conv.,7-15,10-15
Fourth Down Conv.,1-2,0-0
Time of Possession,30:47,29:13
