Quarter,Time,Tm,Detail,NYJ,BUF
1.0,6:41,Jets,Nick Folk 28 yard field goal,3,0
,5:16,Bills,Marquise Goodwin 84 yard pass from Tyrod Taylor (Dan Carpenter kick),3,7
,0:00,Jets,Nick Folk 29 yard field goal,6,7
2.0,11:07,Jets,Matt Forte 1 yard rush (Nick Folk kick),13,7
,3:53,Jets,Eric Decker 5 yard pass from Ryan Fitzpatrick (Nick Folk kick),20,7
,0:05,Bills,Dan Carpenter 39 yard field goal,20,10
3.0,14:09,Bills,Greg Salas 71 yard pass from Tyrod Taylor (Dan Carpenter kick),20,17
,11:15,Bills,Nickell Robey-Coleman 36 yard defensive fumble return (Dan Carpenter kick),20,24
,2:12,Jets,Matt Forte 3 yard rush (Nick Folk kick),27,24
4.0,10:40,Jets,Nick Folk 36 yard field goal,30,24
,4:02,Jets,Matt Forte 12 yard rush (Nick Folk kick),37,24
,1:17,Bills,Mike Gillislee 18 yard pass from Tyrod Taylor (Dan Carpenter kick),37,31
