Unnamed: 0,NYJ,BUF
First Downs,28,16
Rush-Yds-TDs,36-123-3,19-86-0
Cmp-Att-Yd-TD-INT,24-34-374-1-0,19-31-307-3-1
Sacked-Yards,1-4,0-0
Net Pass Yards,370,307
Total Yards,493,393
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,7-50,6-59
Third Down Conv.,8-13,3-10
Fourth Down Conv.,0-0,1-2
Time of Possession,39:12,20:48
