Unnamed: 0,HOU,ARI
First Downs,17,19
Rush-Yds-TDs,21-76-0,29-97-0
Cmp-Att-Yd-TD-INT,22-43-201-3-0,20-32-241-2-1
Sacked-Yards,3-42,1-6
Net Pass Yards,159,235
Total Yards,235,332
Fumbles-Lost,1-1,2-2
Turnovers,1,3
Penalties-Yards,7-53,5-29
Third Down Conv.,6-16,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,28:52,31:08
